id,nom,email,adresse,wilaya,code_wilay,Latitude,Longitude,tel,fax,n_ccp,n_cc
"0",250 - Agence ADRAR,agadrar250@bna.dz,Grande Place des Martyrs - 01000 Adrar,Adrar,"1",27.871741298803833,-0.289821413459744,(049) 36 78 43 - (049) 36 78 42,(049) 36 78 46,3908.90 / 92,01 01 02
"1",251 - Agence TIMIMOUN,agtimimoun251@bna.dz,Place du 1er Novembre - 01400 Timimoune,Adrar,"1",29.261691100000000,0.241596400000000,(049) 30 03 87 - (049) 30 03 90,(049) 30 03 92,"3911.61",01 01 01
"2",413 - Agence AOULEF,agaoulef413@bna.dz,Marché Couvert Place Aoulef - 01300 Aoulef,Adrar,"1",26.972326400000000,1.081003100000000,(049) 32 77 47 - (049) 32 77 77,(049) 32 77 62,3914.68 / 92,01 01 03
"3",260 - Agence CHLEF,agchlef260@bna.dz,21 Rue Ibn Badis - 02000 Chlef,Chlef,"2",36.167670100000002,1.341032400000000,(027) 77 18 62 - (027) 77 16 24 - (027) 77 77 05,(027) 77 08 53 - (027) 77 16 24 - (027) 77 77 05,"3900.60",02 01 02
"4",275 - AP CHLEF,apchlef275@bna.dz,32 Rue Des Martyrs 02000 Chlef,Chlef,"2",36.157966399999999,1.337282300000000,(027) 77 71 62 - 77 28 35 - (027) 79 06 21 - (027) 77 71 68,(027) 77 71 68 - (027) 77 28 43,"3911.10",02 01 01
"5",279 - Agence TENES,agtenes279@bna.dz,Rue Allel Ahmed N°74 -Tenes - 02006 W/CHLEF,Chlef,"2",36.157966399999999,1.337282300000000,(027) 76 83 63 - (027) 76 94 23,(027) 76 73 06 - (027) 76 94 23,"3915.04",02 01 03
"6",297 - Agence AFLOU,agaflou297@bna.dz,Bd Emir AbdelKader - 03400 Aflou W. Laghouat,Laghouat,"3",34.113951800000002,2.097385400000000,(029) 16 72 01 - (029) 16 60 44,(029) 16 60 44,3911.66 / 66,03 01 02
"7",301 - AP LAGHOUAT,aplaghouat301@bna.dz,Rue Bensahnoun - El-Maâmoura - 03000 Laghouat,Laghouat,"3",33.807834100000001,2.862829400000000,(029) 13 27 51/ 52/ 55/ 54,(029) 13 27 50,"3911.43",03 01 01
"8",316 - Agence OUM EL BOUAGUI,agoumelbouaghi316@bna.dz,Cité Errasd - Oum El Bouaghi,Oum El Bouaghi,"4",35.878009100000000,7.090309000000000,(032) 42 95 87 - 42 84 77 (032) 42 80 00,(032) 42 85 43,,
"9",321 - Agence AIN BEIDA,agoumelbouaghi316@bna.dz,800 route de KHENCHELA N°57 Commune d'Ain Beinda 4200 W. Oum El Bouaghi,Oum El Bouaghi,"4",35.426940399999999,7.146015500000000,(032) 69 10 65 - (032) 69 10 79,(032) 69 10 65 - (032) 69 10 79,,
