num,code,code_5,nom,nom_maj,code_wil
1,101,1001,Adrar,ADRAR,1
2,102,1002,Tamest,TAMEST,1
3,103,1003,Charouine,GHAROUINE,1
4,104,1004,Reggane,REGGANE,1
5,105,1005,Inzegmir,INZEGMIR,1
6,106,1006,Tit,TIT,1
7,107,1007,Ksar Kaddour,KSAR KADDOUR,1
8,108,1008,Tsabit,TSABIT,1
9,109,1009,Timimoun,TIMIMOUN,1
10,110,1010,Ouled Said,OULED SAID,1
11,111,1011,Zaouiet Kounta,ZAOUIET KOUNTA,1
12,112,1012,Aoulef,AOULEF,1
13,113,1013,Timokten,TIMOKTEN,1
14,114,1014,Tamentit,TAMENTIT,1
15,115,1015,Fenoughil,FENOUGHIL,1
16,116,1016,Tinerkouk,TINERKOUK,1
17,117,1017,Deldoul,DELDOUL,1
18,118,1018,Sali,SALI,1
19,119,1019,Akabli,AKABILI,1
20,120,1020,Metarfa,METARFA,1
21,121,1021,Ouled Ahmed Timmi,OULED AHMED TIMI,1
22,122,1022,Bouda,BOUDA,1
23,123,1023,Aougrout,AOUGROUT,1
24,124,1024,Talmine,TALMINE,1
25,125,1025,Bordj Badji Mokhtar,BORDJ BADJI MOKHTAR,1
26,126,1026,Sbaa,SEBAA,1
27,127,1027,Ouled Aissa,OULED AISSA,1
28,128,1028,Timiaouine,TIMIAOUINE,1
29,201,2001,Chlef,CHLEF,2
30,202,2002,Tenes,TENES,2
31,203,2003,Benairia,BENAIRIA,2
32,204,2004,El Karimia,EL KARIMIA,2
33,205,2005,Tadjna,TADJENA,2
34,206,2006,Taougrite,TAOUGRITE,2
35,207,2007,Beni Haoua,BENI HAOUA,2
36,208,2008,Sobha,SOBHA,2
37,209,2009,Harchoun,HARCHOUN,2
38,210,2010,Ouled Fares,OULED FARES,2
39,211,2011,Sidi Akkacha,SIDI AKKACHA,2
40,212,2012,Boukadir,BOUKADIR,2
41,213,2013,Beni Rached,BENI RACHED,2
42,214,2014,Talassa,TALASSA,2
43,215,2015,Herenfa,HERENFA,2
44,216,2016,Oued Ghoussine,OUED GHOUSSINE,2
45,217,2017,Dahra,DAHRA,2
46,218,2018,Ouled Abbes,OULED ABBES,2
47,219,2019,Sendjas,SENDJAS,2
48,220,2020,Zeboudja,ZEBOUDJA,2
49,221,2021,Oued Sly,OUED SLY,2
50,222,2022,Abou El Hassen,ABOU EL HASSEN,2
51,223,2023,El Marsa,EL MARSA,2
52,224,2024,Chettia,CHETTIA,2
53,225,2025,Sidi Abderrahmane,SIDI ABDERRAHMANE,2
54,226,2026,Moussadek,MOUSSADEK,2
55,227,2027,El Hadjadj,EL HADJADJ,2
56,228,2028,Labiod Medjadja,LABIODH MEDJADJA,2
57,229,2029,Oued Fodda,OUED FODDA,2
58,230,2030,Ouled Ben Abdelkader,OULED BEN ABDELKADER,2
59,231,2031,Bouzghaia,BOUZEGHAIA,2
60,232,2032,Ain Merane,AIN MERANE,2
61,233,2033,Oum Drou,OUM DROU,2
62,234,2034,Breira,BREIRA,2
63,235,2035,Beni Bouattab,BENI BOUATTAB,2
64,301,3001,Laghouat,LAGHOUAT,3
65,302,3002,Ksar El Hirane,KSAR EL HIRANE,3
66,303,3003,Mekhareg,MEKHAREG,3
67,304,3004,Sidi Makhlouf,SIDI MAKHLOUF,3
68,305,3005,Hassi Delaa,HASSI DHELAA,3
69,306,3006,Hassi R Mel,HASSI RMEL,3
70,307,3007,Ain Mahdi,AIN MADHI,3
71,308,3008,Tadjmout,TADJEMOUT,3
72,309,3009,Kheneg,KHENEG,3
73,310,3010,Gueltat Sidi Saad,GUELTAT SIDI SAAD,3
74,311,3011,Ain Sidi Ali,AIN SIDI ALI,3
75,312,3012,Beidha,BEIDHA,3
76,313,3013,Brida,BRIDA,3
77,314,3014,El Ghicha,EL GHICHA,3
78,315,3015,Hadj Mechri,HADJ MECHRI,3
79,316,3016,Sebgag,SEBGAG,3
80,317,3017,Taouiala,TAOUILA,3
81,318,3018,Tadjrouna,TADJROUNA,3
82,319,3019,Aflou,AFLOU,3
83,320,3020,El Assafia,EL ASSAFIA,3
84,321,3021,Oued Morra,OUED MORRA,3
85,322,3022,Oued M Zi,OUED MZI,3
86,323,3023,El Haouaita,EL HAOUAITA,3
87,324,3024,Sidi Bouzid,SIDI BOUZID,3
88,401,4001,Oum El Bouaghi,OUM EL BOUAGHI,4
89,402,4002,Ain Beida,AIN BEIDA,4
90,403,4003,Ainmlila,AIN MLILA,4
91,404,4004,Behir Chergui,BEHIR CHERGUI,4
92,405,4005,El Amiria,EL AMIRIA,4
93,406,4006,Sigus,SIGUS,4
94,407,4007,El Belala,EL BELALA,4
95,408,4008,Ain Babouche,AIN BABOUCHE,4
96,409,4009,Berriche,BERRICHE,4
97,410,4010,Ouled Hamla,OULED HAMLA,4
98,411,4011,Dhala,DHALAA,4
99,412,4012,Ain Kercha,AIN KERCHA,4
100,413,4013,Hanchir Toumghani,HANCHIR TOUMGHANI,4
101,414,4014,El Djazia,EL DJEZIA,4
102,415,4015,Ain Diss,AIN DISS,4
103,416,4016,Fkirina,FKIRINA,4
104,417,4017,Souk Naamane,SOUK NAAMANE,4
105,418,4018,El Zorg,EL ZORG,4
106,419,4019,El Fedjoudj Boughrara Saoudi,EL FEDJOUDJ BOUGHRARA SAOUDI,4
107,420,4020,Ouled Zouai,OULED ZOUAI,4
108,421,4021,Bir Chouhada,BIR CHOUHADA,4
109,422,4022,Ksar Sbahi,KSAR SBAHI,4
110,423,4023,Oued Nini,OUED NINI,4
111,424,4024,Meskiana,MESKIANA,4
112,425,4025,Ain Fekroune,AIN FAKROUN,4
113,426,4026,Rahia,REHIA,4
114,427,4027,Ain Zitoun,AIN ZITOUN,4
115,428,4028,Ouled Gacem,OULED GACEM,4
116,429,4029,El Harmilia,EL HARMILIA,4
117,501,5001,Batna,BATNA,5
118,502,5002,Ghassira,GHASSIRA,5
119,503,5003,Maafa,MAAFA,5
120,504,5004,Merouana,MEROUANA,5
121,505,5005,Seriana,SERIANA,5
122,506,5006,Menaa,MENAA,5
123,507,5007,El Madher,EL MADHER,5
124,508,5008,Tazoult,TAZOULT,5
125,509,5009,Ngaous,NGAOUS,5
126,510,5010,Guigba,GUIGBA,5
127,511,5011,Inoughissen,INOUGHISSENE,5
128,512,5012,Ouyoun El Assafir,OUYOUN EL ASSAFIR,5
129,513,5013,Djerma,DJERMA,5
130,514,5014,Bitam,BITAM,5
131,515,5015,Metkaouak,METKAOUAK,5
