code_wil,code_48,code_58,nom,nom_maj,nom_ar
1,101,101,Adrar,ADRAR,أدرار
1,115,102,Fenoghil,FENOGHIL,فنوغيل
1,102,103,Tamest,TAMEST,تاماست
1,104,104,Reggane,REGGANE,رقان
1,118,105,Sali,SALI,سالي
1,105,106,In Zghmir,IN ZGHMIR,إن زغمير
1,119,107,Akabli,AKABLI,أقبلي
1,106,108,Tit,TIT,تيت
1,121,109,Ouled Ahmed Timmi,OULED AHMED TIMMI,أوﻻد أحمد تيمي
1,108,110,Tsabit,TSABIT,تسابيت
1,122,111,Bouda,BOUDA,بودة
1,111,112,Zaouiet Kounta,ZAOUIET KOUNTA,زاوية كنتة
1,112,113,Aoulef,AOULEF,أولف
1,126,114,Sebaa,SEBAA,السبع
1,113,115,Timekten,TIMEKTEN,تيمقتن
1,114,116,Tamantit,TAMANTIT,تامنطيت
2,201,201,Chlef,CHLEF,الشلف
2,202,202,Tenes,TENES,
2,203,203,Benairia,BENAIRIA,
2,204,204,El Karimia,EL KARIMIA,
2,205,205,Tadjna,TADJENA,
2,206,206,Taougrite,TAOUGRITE,
2,207,207,Beni Haoua,BENI HAOUA,
2,208,208,Sobha,SOBHA,
2,209,209,Harchoun,HARCHOUN,
2,210,210,Ouled Fares,OULED FARES,
2,211,211,Sidi Akkacha,SIDI AKKACHA,
2,212,212,Boukadir,BOUKADIR,
2,213,213,Beni Rached,BENI RACHED,
2,214,214,Talassa,TALASSA,
2,215,215,Herenfa,HERENFA,
2,216,216,Oued Ghoussine,OUED GHOUSSINE,
2,217,217,Dahra,DAHRA,
2,218,218,Ouled Abbes,OULED ABBES,
2,219,219,Sendjas,SENDJAS,
2,220,220,Zeboudja,ZEBOUDJA,
2,221,221,Oued Sly,OUED SLY,
2,222,222,Abou El Hassen,ABOU EL HASSEN,
2,223,223,El Marsa,EL MARSA,
2,224,224,Chettia,CHETTIA,
2,225,225,Sidi Abderrahmane,SIDI ABDERRAHMANE,
2,226,226,Moussadek,MOUSSADEK,
2,227,227,El Hadjadj,EL HADJADJ,
2,228,228,Labiod Medjadja,LABIODH MEDJADJA,
2,229,229,Oued Fodda,OUED FODDA,
2,230,230,Ouled Ben Abdelkader,OULED BEN ABDELKADER,
2,231,231,Bouzghaia,BOUZEGHAIA,
2,232,232,Ain Merane,AIN MERANE,
2,233,233,Oum Drou,OUM DROU,
2,234,234,Breira,BREIRA,
2,235,235,Beni Bouattab,BENI BOUATTAB,
3,301,301,Laghouat,LAGHOUAT,اﻷغواط
3,302,302,Ksar El Hirane,KSAR EL HIRANE,
3,303,303,Mekhareg,MEKHAREG,
3,304,304,Sidi Makhlouf,SIDI MAKHLOUF,
3,305,305,Hassi Delaa,HASSI DHELAA,
3,306,306,Hassi R Mel,HASSI RMEL,
3,307,307,Ain Mahdi,AIN MADHI,
3,308,308,Tadjmout,TADJEMOUT,
3,309,309,Kheneg,KHENEG,
3,310,310,Gueltat Sidi Saad,GUELTAT SIDI SAAD,
3,311,311,Ain Sidi Ali,AIN SIDI ALI,
3,312,312,Beidha,BEIDHA,
3,313,313,Brida,BRIDA,
3,314,314,El Ghicha,EL GHICHA,
3,315,315,Hadj Mechri,HADJ MECHRI,
3,316,316,Sebgag,SEBGAG,
3,317,317,Taouiala,TAOUILA,
3,318,318,Tadjrouna,TADJROUNA,
3,319,319,Aflou,AFLOU,
3,320,320,El Assafia,EL ASSAFIA,
3,321,321,Oued Morra,OUED MORRA,
3,322,322,Oued M Zi,OUED MZI,
3,323,323,El Haouaita,EL HAOUAITA,
3,324,324,Sidi Bouzid,SIDI BOUZID,
4,401,401,Oum El Bouaghi,OUM EL BOUAGHI,أم البواقي
4,402,402,Ain Beida,AIN BEIDA,
4,403,403,Ainmlila,AIN MLILA,
4,404,404,Behir Chergui,BEHIR CHERGUI,
4,405,405,El Amiria,EL AMIRIA,
4,406,406,Sigus,SIGUS,
4,407,407,El Belala,EL BELALA,
4,408,408,Ain Babouche,AIN BABOUCHE,
4,409,409,Berriche,BERRICHE,
4,410,410,Ouled Hamla,OULED HAMLA,
4,411,411,Dhala,DHALAA,
4,412,412,Ain Kercha,AIN KERCHA,
4,413,413,Hanchir Toumghani,HANCHIR TOUMGHANI,
4,414,414,El Djazia,EL DJEZIA,
4,415,415,Ain Diss,AIN DISS,
4,416,416,Fkirina,FKIRINA,
4,417,417,Souk Naamane,SOUK NAAMANE,
4,418,418,El Zorg,EL ZORG,
4,419,419,El Fedjoudj Boughrara Saoudi,EL FEDJOUDJ BOUGHRARA SAOUDI,
4,420,420,Ouled Zouai,OULED ZOUAI,
4,421,421,Bir Chouhada,BIR CHOUHADA,
4,422,422,Ksar Sbahi,KSAR SBAHI,
4,423,423,Oued Nini,OUED NINI,
4,424,424,Meskiana,MESKIANA,
4,425,425,Ain Fekroune,AIN FAKROUN,
4,426,426,Rahia,REHIA,
4,427,427,Ain Zitoun,AIN ZITOUN,
4,428,428,Ouled Gacem,OULED GACEM,
4,429,429,El Harmilia,EL HARMILIA,
5,501,501,Batna,BATNA,باتنة
5,502,502,Ghassira,GHASSIRA,
5,503,503,Maafa,MAAFA,
5,504,504,Merouana,MEROUANA,
5,505,505,Seriana,SERIANA,
5,506,506,Menaa,MENAA,
5,507,507,El Madher,EL MADHER,
5,508,508,Tazoult,TAZOULT,
5,509,509,Ngaous,NGAOUS,
5,510,510,Guigba,GUIGBA,
5,511,511,Inoughissen,INOUGHISSENE,
5,512,512,Ouyoun El Assafir,OUYOUN EL ASSAFIR,
5,513,513,Djerma,DJERMA,
5,514,514,Bitam,BITAM,
5,515,515,Metkaouak,METKAOUAK,
5,516,516,Arris,ARRIS,
5,517,517,Kimmel,KIMMEL,
5,518,518,Tilatou,TILATOU,
5,519,519,Ain Djasser,AIN DJASSER,
5,520,520,Ouled Selam,OULED SELLAM,
5,521,521,Tigherghar,TIGHARGHAR,
5,522,522,Ain Yagout,AIN YAGOUT,
5,523,523,Fesdis,FESDIS,
5,524,524,Sefiane,SEFIANE,
5,525,525,Rahbat,RAHBAT,
5,526,526,Tighanimine,TIGHANIMINE,
5,527,527,Lemsen,LEMCEN,
5,528,528,Ksar Belezma,KSAR BELEZMA,
5,529,529,Seggana,SEGGANA,
5,530,530,Ichmoul,ICHEMOUL,
5,531,531,Foum Toub,FOUM TOUB,
5,532,532,Beni Foudhala El Hakania,BENI FOUDHALA EL HAKANIA,
5,533,533,Oued El Ma,OUED EL MA,
5,534,534,Talkhamt,TALKHEMT,
5,535,535,Bouzina,BOUZINA,
5,536,536,Chemora,CHEMORA,
5,537,537,Oued Chaaba,OUED CHAABA,
5,538,538,Taxlent,TAXLENT,
5,539,539,Gosbat,GOSBAT,
5,540,540,Ouled Aouf,OULED AOUF,
5,541,541,Boumagueur,BOUMAGUER,
5,542,542,Barika,BARIKA,
5,543,543,Djezzar,DJEZZAR,
5,544,544,Tkout,TKOUT,
5,545,545,Ain Touta,AIN TOUTA,
5,546,546,Hidoussa,HIDOUSSA,
5,547,547,Teniet El Abed,THENIET EL ABED,
5,548,548,Oued Taga,OUED TAGA,
5,549,549,Ouled Fadel,OULED FADEL,
5,550,550,Timgad,TIMGAD,
5,551,551,Ras El Aioun,RAS EL AIOUN,
5,552,552,Chir,CHIR,
5,553,553,Ouled Si Slimane,OULED SI SLIMANE,
5,554,554,Zanat El Beida,ZANA EL BEIDA,
5,555,555,Amdoukal,MDOUKAL,
