num,code,nom,nom_maj,nom_ar
0,1,Adrar,ADRAR,أدرار
1,2,Chlef,CHLEF,الشلف
2,3,Laghouat,LAGHOUAT,اﻷغواط
3,4,Oum El Bouaghi,OUM EL BOUAGHI,أم البواقي
4,5,Batna,BATNA,باتنة
5,6,Béjaïa,BEJAIA,بجاية
6,7,Biskra,BISKRA,بسكرة
7,8,Béchar,BECHAR,بشار
8,9,Blida,BLIDA,البليدة
9,10,Bouira,BOUIRA,البويرة
10,11,Tamenghasset,TAMENGHASSET,تامنغست
11,12,Tébéssa,TEBESSA,تبسة
12,13,Tlemcen,TLEMCEN,تلمسان
13,14,Tiaret,TIARET,تيارت
14,15,Tizi Ouzou,TIZI OUZOU,تيزي وزو
15,16,Alger,ALGER,الجزائر
16,17,Djelfa,DJELFA,الجلفة
17,18,Jijel,JIJEL,جيجل
18,19,Sétif,SETIF,سطيف
19,20,Saïda,SAIDA,سعيدة
20,21,Skikda,SKIKDA,سكيكدة
21,22,Sidi Bel Abbès,SIDI BEL ABBES,سيدي بلعباس
22,23,Annaba,ANNABA,عنابة
23,24,Guelma,GUELMA,قالمة
24,25,Constantine,CONSTANTINE,قسنطينة
25,26,Médéa,MEDEA,المدية
26,27,Mostaganem,MOSTAGANEM,مستغاﱎ
27,28,M'Sila,M'SILA,المسيلة 
28,29,Mascara,MASCARA,معسكر
29,30,Ouargla,OUARGLA,ورقلة
30,31,Oran,ORAN,وهران
31,32,El Bayadh,EL BAYADH,البيض
32,33,Illizi,ILLIZI,إيليزي
33,34,Bordj Bou Arréridj,BORDJ BOU ARRERIDJ,برج بوعريريج
34,35,Boumerdès,BOUMERDES,بومرداس
35,36,El Tarf,EL TARF,الطارف
36,37,Tindouf,TINDOUF,تندوف
37,38,Tissemsilt,TISSEMSILT,تيسمسيلت
38,39,El Oued,EL OUED,الوادي
39,40,Khenchela,KHENCHELA,خنشلة
40,41,Souk Ahras,SOUK AHRAS,سوق أهراس
41,42,Tipaza,TIPAZA,تيبازة
42,43,Mila,MILA,ميلة
43,44,Aïn Defla,AIN DEFLA,عين الدفلى
44,45,Naâma,NAAMA,النعامة
45,46,Aïn Témouchent,AIN TEMOUCHENT,عين تموشنت
46,47,Ghardaïa,GHARDAIA,غرداية
47,48,Relizane,RELIZANE,غليزان
