,code,nom,nom_maj,nom_ar
1,1,Adrar,ADRAR,أدرار
2,2,Chlef,CHLEF,الشلف
3,3,Laghouat,LAGHOUAT,اﻷغواط
4,4,Oum El Bouaghi,OUM EL BOUAGHI,أم البواقي
5,5,Batna,BATNA,باتنة
6,6,Bejaia,BEJAIA,بجاية
7,7,Biskra,BISKRA,بسكرة
8,8,Béchar,BÉCHAR,بشار
9,9,Blida,BLIDA,البليدة
10,10,Bouira,BOUIRA,البويرة
11,11,Tamenghasset,TAMENGHASSET,تامنغست
12,12,Tebessa,TEBESSA,تبسة
13,13,Tlemcen,TLEMCEN,تلمسان
14,14,Tiaret,TIARET,تيارت
15,15,Tizi Ouzou,TIZI OUZOU,تيزي وزو
16,16,Alger,ALGER,الجزائر
17,17,Djelfa,DJELFA,الجلفة
18,18,Jijel,JIJEL,جيجل
19,19,Setif,SETIF,سطيف
20,20,Saida,SAIDA,سعيدة
21,21,Skikda,SKIKDA,سكيكدة
22,22,Sidi Bel Abbes,SIDI BEL ABBES,سيدي بلعباس
23,23,Annaba,ANNABA,عنابة
24,24,Guelma,GUELMA,قالمة
25,25,Constantine,CONSTANTINE,قسنطينة
26,26,Medea,MEDEA,المدية
27,27,Mostaganem,MOSTAGANEM,مستغاﱎ
28,28,Msila,MSILA,المسيلة 
29,29,Mascara,MASCARA,معسكر
30,30,Ouargla,OUARGLA,ورقلة
31,31,Oran,ORAN,وهران
32,32,El Bayadh,EL BAYADH,
33,33,Illizi,ILLIZI,إيليزي
34,34,Bordj Bou Arreridj,BORDJ BOU ARRERIDJ,برج بوعريريج
35,35,Boumerdes,BOUMERDES,بومرداس
36,36,El Tarf,EL TARF,الطارف
37,37,Tindouf,TINDOUF,تندوف
38,38,Tissemsilt,TISSEMSILT,تيسمسيلت
39,39,El Oued,EL OUED,الوادي
40,40,Khenchela,KHENCHELA,خنشلة
41,41,Souk Ahras,SOUK-AHRAS,سوق أهراس
42,42,Tipaza,TIPAZA,تيبازة
43,43,Mila,MILA,ميلة
44,44,Ain Defla,AIN-DEFLA,عين الدفلى
45,45,Naama,NAAMA,النعامة
46,46,Ain Temouchent,AIN-TEMOUCHENT,عين تموشنت
47,47,Ghardaïa,GHARDAÏA,غرداية
48,48,Relizane,RELIZANE,غليزان
49,49,Timimoun,TIMIMOUN,تيميمون
50,50,Bordj Badji Mokhtar,BORDJ BADJI MOKHTAR,برج باجي مختار
51,51,Ouled Djellal,OULED DJELLAL,أوﻻد جلال
52,52,Béni Abbès,BÉNI ABBÈS,بني عباس
53,53,In Salah,IN SALAH,إن صالح
54,54,In Guezzam,IN GUEZZAM,إن قزام
55,55,Touggourt,TOUGGOURT,توقرت
56,56,Djanet,DJANET,جانت
57,57,El Megaier,EL MEGAIER,المغير
58,58,El Meniaâ,EL MENIAÂ,المنيعة
