,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
0,Ouled Hamla SPA Tikouyavic,CITE GOUADJLIA RABAH PROJET 160 LOG BT 09,0798 22 14 13,pv,AGROLOG,36.027295,6.56382,AIN MLILA,OUM EL BOUAGHI,Viandes,1,4
1,Point de vente UPD Ain Kercha SPA Thagavic,cite Mohamed m'gena nord ouest  Commune Ain Kercha,0561 65 30 18,pv,AGROLOG,35.928594,6.684329,AIN KERCHA,OUM EL BOUAGHI,Viandes,1,4
2,Point de vente kaous SPA TAHAGAVIC,cité stade Commune de Kaous,0661 33 60 29,pv,AGROLOG,36.3774255,5.814824,KAOUS,JIJEL,Viandes,1,18
3,POINT DE VENTE DAWADJEN SITIFIS,RUE DES ABATTOIRS CITE LAID DHAOUI Sétif,0661 31 60 90,pv,AGROLOG,36.17096,5.40674,SETIF,SETIF,Viandes,1,19
4,POINT DE VENTE DAWADJEN SITIFIS,CITE BIR EN NSA AADL 3000 LOGTS LOCAL Num 124125,0770 80 45 32 ,pv,AGROLOG,36.17687,5.47641,SETIF,SETIF,Viandes,1,19
5,POINT DE VENTE DAWADJEN SITIFIS,ZI KECHIDA COMMUNE DE BATNA,0770 80 44 97,pv,AGROLOG,35.56802,6.15798,BATNA,BATNA,Viandes,1,5
6,POINT DE VENTE DAWADJEN SITIFIS,CITE BOUZZOURANE AADL 1000 LOGTS LOCAL Num 05/A/02/C/02,0663 13 45 80,pv,AGROLOG,35.56009,6.19289,BATNA,BATNA,Viandes,1,5
7,POINT DE VENTE DAWADJEN SITIFIS,RUE EMIR ABDELKADER COMMUNE ILLIZI,0793 77 10 00,pv,AGROLOG,26.49818,8.47531,ILLIZI,ILLIZI,Viandes,1,33
8,POINT DE VENTE DAWADJEN SITIFIS,CITE 1ER NOVEMEBRE Num  14 COMMUNE TADJENANT,0778 74 83 26,pv,AGROLOG,36.12143,5.97721,TADJENANET,MILA,Viandes,1,43
9,POINT DE VENTE DAWADJEN SITIFIS,CENTRE Num  03 ZANA EL BEIDA,0770 80 44 90,pv,AGROLOG,35.81206,6.12406,ZANET BEIDA,BATNA,Viandes,1,5
