num,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
"380",CCLS ADRAR,CCLS ADRAR,,pv,OAIC,27.89778568627,-0.290856016773514,ADRAR,ADRAR,Légumes secs,"5","1"
"408",CCLS TENES,Station Ouled Farres RN 19 centre Ouled Fares ,,pv,OAIC,36.226154,1.23458,OULED FARES,CHLEF,Légumes secs,"5","2"
"410",CCLS TENES,Cite Abou  Abou El Hassen,,pv,OAIC,36.4161533933345,1.19330689803688,ABOU EL HASSEN,CHLEF,Légumes secs,"5","2"
"407",CCLS TENES,Station Oued Sly  Cité Abdeli Oued Sly,,pv,OAIC,36.106413,1.194841,OUED SLY,CHLEF,Légumes secs,"5","2"
"409",CCLS TENES,Dock Métal Chlef  Route d'Alger Chlef,,pv,OAIC,36.175738,1.354213,CHLEF,CHLEF,Légumes secs,"5","2"
"427",CCLS LAGHOUAT,Zone Industrielle Bouchakour Laghouat-Ccls Laghouat,,pv,OAIC,33.7566671011382,2.88500173985964,LAGHOUAT,LAGHOUAT,Légumes secs,"5","3"
"428",CCLS LAGHOUAT,Aflou: le marché organisé par la Direction de Commerce ,,pv,OAIC,34.1203541283705,2.10905762268035,AFLOU,LAGHOUAT,Légumes secs,"5","3"
"451",ccls oum el bouaghi,oum el bouaghi MARCHE COUVERT,,pv,OAIC,35.8675246716479,7.10905495415022,OUM EL BOUAGHI,OUM EL BOUAGHI,Légumes secs,"5","4"
"452",CCLS AIN MLILA,AIN MLILA CENTRE VILLE,,pv,OAIC,36.0393924061112,6.57434194516547,AIN MLILA,OUM EL BOUAGHI,Légumes secs,"5","4"
"0",Ouled Hamla SPA Tikouyavic,CITE GOUADJLIA RABAH PROJET 160 LOG BT 09,0798 22 14 13,pv,AGROLOG,36.027295,6.56382,AIN MLILA,OUM EL BOUAGHI,Viandes,"1","4"
"366",LAITERIE NUMIDIA,Ain el beidha,,pv,GIPLAIT,35.799,7.38361,AIN BEIDA,OUM EL BOUAGHI,Produits laitiers,"3","4"
"365",LAITERIE NUMIDIA,Chef lieu,,pv,GIPLAIT,35.8724444,7.1096944,OUM EL BOUAGHI,OUM EL BOUAGHI,Produits laitiers,"3","4"
