num,name,address,tel,fax,website,lon,lat,acronym,code_wil
0,"Ministère de l’Agriculture, du Développement Rural et de la Pêche","12 Boulevard Colonel Amirouche, Alger",023 50 32 38 ,023 50 31 17,madrp.gov.dz,3.058677,36.770581,MADR,16
1,Direction Générale des Forêts,"Chemin Doudou Mokhtar, BP N° 232, Ben Aknoun, Alger",023 78 58 96,023 78 54 56,madrp.gov.dz/dgf,3.012842,36.75064,DGF,16
2,Direction des Services Agricole ADRAR,RUE TALEB MOHAMED,049 36 48 28,049364811,,-0.28185,27.87745,DSA ADRAR,1
3,Direction des Services Agricole Chlef,CITE BELHAMRI DJILALI  CHLEF,027 77 59 00,027 79 05 75,,1.329005,36.161627,DSA Chlef,2
4, Direction des Services Agricole Laghouat,MHAFIR,029 14 54 12,029 14 64 84,,2.854042,33.79567,DSA Laghouat,3
5,Direction des Services Agricole Oum el Bouaghi,CITE LAARBI BEN MHIDI  OUM EL BOUAGHI,032 56 32 72/ 032 56 31 10,032 56 32 62,,7.09506,35.87881,DSA Oum el Bouaghi,4
6,Direction des Services Agricole Batna,CITE KECHIDA,033 80 72 86/ 033 85 25 68,033 80 70 44,,6.156314,35.560048,DSA Batna,5
7,Direction des Services Agricole BEJAIA,"NOUVELLE CITE ADMINISTRATIVE, RUE DES FRERES TABET  BEJAIA",034 10 26 05/ 034 10 26 06,034 10 26 12,,5.062498,36.739011,DSA BEJAIA,6
8,Direction des Services Agricole Biskra,BD EMIR ABDELKADER LA GARE,033 55 83 72,033 55 83 71,,5.7246758,34.8561983,DSA Biskra,7
9, Direction des Services Agricole BECHAR,5 COL CHABOU BARGA,049 21 03 62,049 21 03 64,,-2.225899,31.602642, DSA BECHAR,8
10,Direction des Services Agricole Blida,CITE AZZI ALI SIDI AEK,025 39 13 47/ 025 39 14 57,025 24 65 31,,2.815244,36.490729,DSA Blida,9
11,Direction des Services Agricole Bouira,RUE BOUKAROU MAKHLOUF,026 73 02 10,026 73 01 77,,3.151952,36.564227,DSA Bouira,10
12,Direction des Services Agricole TAMENGHASSET,ILOT 3048 HAI ESSALEM,029 31 02 10,029 31 02 06/029 31 02 11,,5.521134,22.775952,DSA TAMENGHASSET,11
13,Direction des Services Agricole Tébéssa,RTE CONSTANTINE,037 59 27 00,037 59 28 37,,8.108234,35.408822,DSA Tébéssa,12
14,Direction des Services Agricole Tlemcen,BD DES 24 METRES  TLEMCEN,043 42 21 96/043 42 23 47,043 42 20 31,,-1.321337,34.874794,DSA Tlemcen,13
15,Direction des Services Agricole Tiaret,CITE BOLLIS AMAR TEFFAH ROUTE BOUCHEKIF TIARET,046 24 44 08, 046 25 50 20/ 046 24 44 07,,1.327127,35.371482,DSA Tiaret,14
16,Direction des Services Agricole Tizi Ouzou,AXE NOUVEAU LYCEE GARE FERROVIAIRE L'EX SOUK EL FELLAH BELLOUA,026 21 41 90/ 026 20 90 36,026 20 05 08,,4.050023,36.712361,DSA Tizi Ouzou,15
17,Direction des Services Agricole Alger,RTE NLE N°5 CINQ MAISON EN FACE CIMETIERE EL ALLIA,021 52 27 45,021 52 36 06,,3.178766,36.73168,DSA Alger,16
18,Direction des Services Agricole Djelfa,Cité RAS EL AYOUN Route Laghouat djelfa,027 92 18 57 ,027 92 18 59,,3.255901,34.64864,DSA Djelfa,17
19,Direction des Services Agricole JIJEL ,CITE ADM OULED AISSA  JIJEL,034 47 15 80,034 49 59 80,,5.749744,36.807268,DSA JIJEL ,18
20,Direction des Services Agricole Sétif,CITE  AIN TEBINET  Sétif19000,036 62 10 19 / 20,036 62 10 17,,5.432294,36.188198,DSA Sétif,19
21,Direction des Services Agricole Saida,Cité Riade  saida,048 37 41 23,048 37 41 21,,0.160177,34.843835,DSA Saida,20
22,Direction des Services Agricole Skikda,CITE FRERES CHBEL EX SKI AUTO DIDOUCHE MOURAD 21000,038 75 15 10,038 75 39 16,,6.909854,36.87984,DSA Skikda,21
23,Direction des Services Agricole Sidi bel Abbes,RTE BOUKHANEFIS MOUSTACHFA 22000,048 76 95 07/08/09,048 76 95 12,,-0.650069,35.178232,Sidi bel Abbes,22
24,Direction des Services Agricole Annaba,7  COURS DE LA REVOLUTION 23000,038 45 00 84,038 45 00 79,,7.759729,36.900972,DSA Annaba,23
25,Direction des Services Agricole Guelma,CITE BARA LAKHDAR AGABI 24000 guelma ,037 11 12 91/037 11 12 92,037 11 12 93,,7.439997,36.455379,DSA Guelma,24
26,Direction des Services Agricole Constantine,PLACE DES MARTYRS CENTRE VILLE 25800 ,031 87 28 04 / 05 / 06,031 87 46 74/031 87 32 19,,6.609297,36.363949,DSA Constantine,25
27,Direction des Services Agricole Médéa,BD SALVADOR ALLENDEE M'SALLAH 26000,025 79 36 85,025 79 36 86,,2.765699,36.260921,DSA Médéa,26
28,Direction des Services Agricole Mostaganem,LOT VALLEE DES JARDINS 27000 MOSTAGHANEM,045 41 51 11,045 41 51 13,,0.110753,35.913246,DSA Mostaganem,27
29,Direction des Services Agricole M'sila,CITE ADM 28000,035 35 06 69,035 55 00 14,,4.536575,35.703837,DSA M'sila,28
30,Direction des Services Agricole Mascara,Rue SIDI SAHNOUN RACHIDIA ROUTE DE TIARET 29000  Mascara,045 71 18 50,045 71 18 53,,0.149572,35.394157,DSA Mascara,29
31,Direction des Services Agricole Ouargla,AVENU d'EL QODS CODE POSTAL 30000  OUARGLA,029 71 22 74/ 78,029 71 37 30,,5.324527,31.950914,DSA Ouargla,30
32,Direction des Services Agricole Oran,"02  Maitre Abed M'hamed - Plateau a ,ORAN ",041 30 10 11 / 12,041 30 10 31,,-0.656722,35.688379,DSA Oran,31
33,Direction des Services Agricole El Bayadh,CENTRE VILLE 32000 EL BAYADH,496113950,049 61 14 19,,1.01387,33.68154,DSA El Bayadh,32
34,Direction des Services Agricole Illizi,RUE MUSTAPHA BEN BOULAID CENTRE VILLE 33000 ILLIZI,29402861,029 40 28 60,,8.475074,26.503022,DSA Illizi,33
35,Direction des Services Agricole Bordj Bou Arreridj,BD  HAOUARI BOUMEDIENE  BORDJ BOU ARRERIDJ,035 73 31 34,035 73 31 30,,4.770908,36.074055,DSA Bordj Bou Arreridj,34
36,Direction des Services Agricole Boumerdes,NOUVEAU SIEGE SIS AUX ORANGERS 35000 BOUMERDES,024 79 50 14,024 79 50 14,,3.486425,36.763604,DSA Boumerdes,35
37,Direction des Services Agricole EL Tarf,CITE bouhdjar EL TAREF,038 60 16 14  ,038 60 16 13,,8.310108,36.758056,DSA EL Tarf,36
38,Direction des Services Agricole Tindouf,RUE DE LA REVOLUTION AGRAIRE - CITE KSABI  - TINDOUF 37000,049 92 20 29,049 37 67 56,,-0.973435,29.096644,DSA Tindouf,37
39,Direction des Services Agricole Tissemssilt,"Cité Ain El Bordj, TISSEMSILT",046 47 79 70,046 56 72 09,,1.8170497,35.6093465,DSATissemssilt,38
40,Direction des Services Agricole EL OUED,Rue Mohamed  KHEMISTI El OUED,032 14 00 83,03214 00 80/82,,6.858382,33.362822,DSA EL OUED,39
41,Direction des Services Agricole Khenchela,KHENCHELA 40000,032 74 67 13,032 74 69 91/032 74 68 53,,7.1336994,35.2940393,DSA Khenchela,40
42,Direction des Services Agricole Souk Ahras,CITE 80 BUREAUX CENTRE VILLE 41000,037 75 40 90,037 75 40 92,,7.953117,36.286804,DSA Souk Ahras,41
43,Direction des Services Agricole Tipaza,CITE 50LOGTS 42038 NADOR,024 47 69 33,024 37 69 81,,2.46049,36.586377,DSA Tipaza,42
