id,adresse,ville,tel,fax,email,long,lat,code,wilaya
0,Ancien siège de la wilaya,ADRAR,049.36.12.38,049.36.12.35,mohamed.rahmouni@ansej.dz,-0.293594599,27.86921245,1,ADRAR
1,Ancien siège de la daïra d’Aoulef,AOULEF,049.32.71.32,049.32.71.32,ahmed.drissi@ansej.dz,1.080871224,26.97150853,1,ADRAR
2,Siège Inspection du travail,TIMIMOUN,049.90.02.32,049.90.02.32,mhammed.ouledbihi@ansej.dz,0.235929787,29.26963817,1,ADRAR
4,Centre de finance Bordj-Badji Mokhtar,BORDJ BADJI MOKHTAR,049.32.97.07,049.32.97.07,rouhelarbi.nadji@ansej.dz,0.954705477,21.33041501,1,ADRAR
9,Ancien siège de la daïra de Reggane,REGGANE,049.97.02.91,049.97.02.91,abderrahmane.labair@ansej.dz,0.175990462,26.71988969,1,ADRAR
28,Route nationale n°19 Bouzeghaia,BOUZEGHAIA,027.71.56.55,027.71.56.55,ahmed.ouzene@ansej.dz,1.237845,36.339422,2,CHLEF
29,"Zone différée, 38 Logements  AADL Chlef",CHLEF,027.77.04.23,027.79.72.72,djilali.boumediene@ansej.dz,1.330968,36.162672,2,CHLEF
63,Rue de Laghouat Route Nationale 23 AFLOU,AFLOU,029.17.55.71,029.17.55.71,khallil.khamloul@ansej.dz,2.10657075,34.11899272,3,LAGHOUAT
64,Cite El Gouatine Laghouat,LAGHOUAT,029.14.20.77,029.14.20.88,Kheira.Gourine@ansej.dz,2.874437571,33.821781,3,LAGHOUAT
87,Cité administrative bloc N°2  2ième étage Batna,BATNA,033.25.48.48,033.25.48.48,kamal.souanef@ansej.dz,6.167595,35.547028,5,BATNA
88,Rue Khezani Lakhdar Ain Touta,AIN TOUTA,033.35.50.99,033.35.50.99,younes.benmakhlouf@ansej.dz,5.898951,35.377541,5,BATNA
90,Cité frères Sahraoui (Cité Zaitouna) Barika,BARIKA,033.39.35.36,033.39.35.36,hani.haifkhaif@ansej.dz,5.353091,35.39242,5,BATNA
91,Cité Deraa Zitoune Arris,ARRIS,033.34.50.03,033.34.50.03,saleheddine.benzerrouk@ansej.dz,6.357856,35.256152,5,BATNA
148,Cité 200 logements OPGI Ihadaden Bejaia,BEJAIA,034.10.67.67,034.10.67.68,nadir.kheffache@ansej.dz,5.08433,36.75587,6,BEJAIA
149,Ex ERIAD Selouana Ouzellaguen,AKBOU,034.35.69.13,034.35.69.13,nassim.gougam@ansej.dz,4.53494,36.4575,6,BEJAIA
150,Darguina Centre,DARGUINA,034.39.82.35,034.39.82.35,abdelghani.taleb@ansej.dz,5.306,36.5646,6,BEJAIA
200,Cité Moudjahidine (ex Souk El Fellah) BP 297 Beni Morrah Biskra,BISKRA,033.65.79.55,033.65.79.55,fatima.rouagued@ansej.dz,5.7208594,34.858665,7,BISKRA
202,Siège de l’ex Daïra Ouled Djellal,OULED DJELLAL,033.66.32.81,033.66.32.81,abdeldjalil.zine@ansej.dz,5.062685,34.426476,7,BISKRA
204,ex Centre de la garde communal Tolga,TOLGA,033.59.75.51,033.59.75.51,ahmed.mghezzilarafi@ansej.dz,5.400395,34.73147,7,BISKRA
211,Cité administrative Zeribet El Oued,ZERIBET EL OUED,033.64.14.97,033.64.14.97,morad.bennadji@ansej.dz,6.5099544,34.678075,7,BISKRA
233,Cité Rachid Madouni à côté Immeuble Pasteur Bechar,BECHAR,049.21.11.60,049.21.11.62,tahar.belamouri@ansej.dz,-2.217415,31.619119,8,BECHAR
235,Rue Amir Abdelkader Beni Abbes,BENI ABBES,049.28.52.45,049.28.52.45,moussa.moulfi@ansej.dz,-2.169178,30.127885,8,BECHAR
237,Centre-ville Beni Ounif Bechar,BENI OUNIF,049.84.30.00,049.84.30.00,,-1.247493,32.04794,8,BECHAR
254,Cité 222 logements bâtiment B2 Rue Belkacem El Ozri  Blida.,BLIDA,025.23.39.49,025.23.39.49,mohamed.melab@ansej.dz,2.811279,36.480429,9,BLIDA
255,Cité 222 logements bâtiment B2 Rue Belkacem El Ozri  Blida.,BOUFARIK,025.23.39.91,025.23.39.91,ali.kebilene@ansej.dz,2.825929,36.485251,9,BLIDA
261,Cité 100 logements FNPOS  Bougara Blida,BOUGARA,025.25.39.09,025.25.39.09,sadek.zaghdoudi@ansej.dz,3.098305,36.538061,9,BLIDA
279,Ex Siège de la Daïra de Bir El Ater Tébessa,BIR EL ATER,037.44.76.28,037.44.76.28,djemai.abidi@ansej.dz,8.33145,34.45742,12,TEBESSA
280,Cité du stade communal Cheria Tebessa,CHERIA,037.62.10.59,037.62.10.59,mosbahi.sofiane@ansej.dz,7.445802,35.155165,12,TEBESSA
281,Quartier Djebel Djorf Jardin Ennahdha BP 424 Tébessa,TEBESSA,037.50.05.47,037.50.09.50,wassila.benhadda@ansej.dz,35.398446,8.104386,12,TEBESSA
307,Rue Bouanani Ahmed place du marché Nedroma,NEDROMA,043.45.69.55,043.45.69.55,aboubekr.ghomari@ansej.dz,-1.74646854389721,35.0107182145983,13,TLEMCEN
308,Cité Ibn Badis Résidence El Widad Imama Mansourah Tlemcen,TLEMCEN,043.22.12.98,043.22.12.96,naim.zegnouni@ansej.dz,-1.3393378262117,34.8871260782929,13,TLEMCEN
313,Rue Larbi Benmhidi (Ancienne médiathèque),REMCHI,043.43.77.95,043.43.77.95,yassine.gadi@ansej.dz,-1.42893433565405,35.0599198556509,13,TLEMCEN
315,Résidence El Forsane Sebdou,SEBDOU,043.54.80.33,043.54.80.33,moustafa.mansouri@ansej.dz,-1.3308763502937,34.639448022077,13,TLEMCEN
316,Boulvard du 1er Novembre 1954 Maghnia,MAGHNIA,043.50.28.17,043.50.28.17,adil.saim@ansej.dz,-1.72714520437984,34.8485406776685,13,TLEMCEN
360,Cité Kaid Ahmed Route d’Alger Tiaret,TIARET,046.20.85.12,046.20.86.46,,1.33663,35.38119,14,TIARET
370,Cité Administrative Ksar Chellala Tiaret,KASR CHELLALA,046.36.45.56,046.36.45.56,,2.317551,35.214218,14,TIARET
393,"ex Galerie EDGB, Avenue Abane Ramdan  Tizi Ouzou",TIZI-OUZOU,026.20.23.23,026.20.23.23,nadjia.taharount@ansej.dz,4.052564,36.711465,15,TIZI-OUZOU
394,Rue Lala Fatma N'Soumer Draa El Mizan Tizi Ouzou,DRAA EL MIZAN,026.13.56.54,026.13.56.54,arezki.mazouni@ansej.dz,3.814653,36.559368,15,TIZI-OUZOU
395,Cité des 300 Logements AADL Bâtiment 15 AZ 06 S12 et S09 Tizi Bouchene Azazga,AZAZGA,026.34.50.23,026.34.50.39,malika.alouane@ansej.dz,4.348806,36.74849,15,TIZI-OUZOU
460,Cité AADL 558 logements Bâtiment 16 N°C03  Ouled Fayet Alger,CHERAGA,023.28.41.66,023.28.41.66,saliha.hadjailia@ansej.dz,2.953841686,36.74161817,16,ALGER
461,Cité 1115 Bâtiment 21 AADL Hraoua Rouiba,ROUIBA,023.96.08.00/05.61.46.09.98,023.96.08.00,faycel.aouichiche@ansej.dz,3.293272,36.773497,16,ALGER
462,86 bis rue Hassiba Ben Bouali Alger,SIDI M'HAMED,021.66.50.40,021.66.50.40,oussama.gueddar@ansej.dz,3.059128,36.761045,16,ALGER
463,"Cité 873 logements AADL B7, Ain Benian, Alger",BAB EL OUED,023.21.98.06,023.21.98.07,samira.brachemi@ansej.dz,2.929582,36.798508,16,ALGER
464,Cité EL MOSSALAHA EL WATANIA AADL Bâtiment 16 Bab Ezzouar,DAR EL BEIDA,023.92.97.77,023.92.97.77,lakhder.boudiaf@ansej.dz,3.199551,36.72029,16,ALGER
465,Cité AADL 572 logements Bâtiment 02 local 161/2S 01 El Achour Alger,DRARIA,021.33.38.60,021.33.38.60,kenza.toumi@ansej.dz,2.993669808,36.73381127,16,ALGER
466,Cité 594 Logements bâtiment D1 AADL  Bachdjarah,EL HARRACH,023.88.50.21,023.88.50.21,hanane.bouzegzi@ansej.dz,3.104029,36.722013,16,ALGER
468,Cité 700 logements Bâtiment 01 Baraki,BARAKI,023.90.11.79,023.90.11.79,malek.messaoudene@ansej.dz,3.0839787,36.6455614,16,ALGER
469,Cité AADL Sidi Youcef 649 logements Bloc B17 Beni Messous Alger,BOUZAREAH,023.23.71.07/06.70.37.46.41,,adel.belkacem@ansej.dz,2.987251,36.798697,16,ALGER
471,Cité AADL Bâtiment 04 Local N°16j La Concorde 16013 Bir Mourad Rais,BIR MOURAD RAIS,023.57.32.34,023.57.32.34,bilal.zamit@ansej.dz,3.041512,36.735934,16,ALGER
473,Cité des 297 logements BT 22 locaux 39 & 40 Birtouta,BIRTOUTA,021.44.38.47,021.44.38.47,mustapha.terkouche@ansej.dz,2.993613482,36.7407928,16,ALGER
490,Cité AADL Zerhouni Mokhtar ex « Les bananiers » Bâtiment 05 El Mohamadia,HUSSEIN DEY,021.89.75.21,021.89.75.21,hamza.adrar@ansej.dz,2.9937842,36.7408413,16,ALGER
498,AADL Cité  212 logements Bt A2 Zeralda,ZERALDA,023.20.51.80,023.20.51.80,mohamed.aissati@ansej.dz,2.8475967,36.7066959,16,ALGER
517,Cité 200 logements Assous AADL Jijel,JIJEL,034.47.45.04,034.47.39.45,nacereddine.benbait@ansej.dz,5.76233983,36.82483509,18,JIJEL
545,"Cité 500 logements AADL, Thabet Bouzid El Eulma",EL EULMA,036.47.90.92,036.47.90.86,fares.retma@ansej.dz,5.700677186,36.15017057,19,SETIF
546,Rue Merbah Belkhieri Ex Daira Sétif,SETIF,036.45.31.18,036.45.31.17,yazid.kebaili@ansej.dz,5.4056838,36.1891046,19,SETIF
547,Cité des 44 Logements face à l’UGTA Ain Oulmane,AIN OULMENE,036.56.42.07,036.56.42.07,,5.294620246,35.92552593,19,SETIF
548,,?AIN EL KEBIRA,,,,5.4056838,36.1891046,19,SETIF
550,Centre culturel Bougaa,BOUGAA,036.60.20.02,036.60.20.02,sihem.saouli@ansej.dz,5.091280639,36.33355756,19,SETIF
605,Centre-Ville. À côté du marché couvert de Saida,YOUB EL HASSASNA,048.41.32.01,048.41.32.01,sidahmed.hachemane@ansej.dz,0.048065,35.050235,20,SAIDA
607,Balloul Saïda,OULED BRAHIM,048.33.53.13,048.33.53.13,,0.484772,34.990629,20,SAIDA
610,Rue principale Sidi Boubekeur Saida,SIDI BOUBEKEUR,048.50.44.20,048.50.44.20,,0.151813,34.8304013,20,SAIDA
615,Cité Amous à côté de l'OPGI Saida,SAIDA,048.37.00.09,048.37.00.09,benaoumeur.nehal@ansej.dz,0.151813,34.8304013,20,SAIDA
621,Cité des Allées du 20 Août 1955 Centre culturel Ali Tlilani Skikda,SKIKDA,038.72.15.61,038.72.16.07,redouane.boufrioua@ansej.dz,6.920187,36.862721,21,SKIKDA
622,Bibliothèque communale Commune Ain Cherchar,AIN CHERCHAR,038.77.01.33/28,038.77.01.33/28,boubakeur.chaoui@ansej.dz,7.218504,36.731905,21,SKIKDA
623,Groupe services technique Daïra de Tamalous,TAMALOUS,038.93.74.51,038.93.74.51,mohamed.bouguerne@ansej.dz,6.6397313,36.8364322,21,SKIKDA
659,Boulvard Larbi Ben M'hidi Sfisef,SFISEF,048.79.41.54,048.79.41.54,sara.didaoui@ansej.dz,-0.244473964,35.23369959,22,SIDI BEL ABBES
660,Cité 192 logements EPLF Rue Abbane Ramdane prolongé Sidi Bel Abbés,SIDI BEL ABBES,048.74.64.50,048.74.64.50,abdelkader.lardjani@ansej.dz,-0.635195374,35.19755358,22,SIDI BEL ABBES
661,Rue Mohamed Habis Ben Badis,BENBADIS,048.73.22.46,048.73.22.46,,-0.914554149,34.95181796,22,SIDI BEL ABBES
663,Siège de la Daïra Moulay Slissen,MOULAY SLISSEN,048.78.45.66,048.78.45.66,amine.tabti@ansej.dz,-0.75752154,34.8265152,22,SIDI BEL ABBES
668,Boulevard Toumi Lakhdar Tenira,TENIRA,048.71.21.20,048.71.21.20,omar.saadi@ansej.dz,-0.526768416,35.02091843,22,SIDI BEL ABBES
669,Cité administrative Siège de la Daïra de Télagh,TELAGH,048.78.12.70,048.78.12.70,tarik.khiat@ansej.dz,-0.574639142,34.7822937,22,SIDI BEL ABBES
711,Rue Larbi Ben M'hidi El Hadjar Annaba,EL HADJAR,038.59.16.26,038.59.16.27,nadji.benhalima@ansej.dz,7.714929,36.879104,23,ANNABA
712,Rue Gouta Sebti  Annaba,ANNABA,038.86.80.21,038.86.80.21,affef.boukachabia@ansej.dz,7.759292,36.909406,23,ANNABA
713,Cité Nouvelle Berrahel,BERRAHEL,038.87.81.67,038.87.81.67,fatima.boussaha@ansej.dz,7.45267,36.836492,23,ANNABA
716,156 Logements promotionnels les crêtes bloc B1+A  N°16 El Bouni,EL BOUNI,,,salim.boualleg@ansej.dz,7.746513,36.856754,23,ANNABA
723,Ancien siège de la daïra Rue 1er Novembre 54 Bouchegouf,BOUCHEGOUF,037.12.58.65,037.12.58.65,,7.7320338,36.472601,24,GUELMA
724,Ancien siège de la daïra  Rue Ammar Ghaiba Oued Zenati,OUED ZENATI,037.18.82.31,037.18.82.31,ahmed.bouchelaghem@ansej.dz,7.1678611,36.321,24,GUELMA
727,"Cité des 80 bureaux, Route Sedrata Guelma",GUELMA,037.14.05.05,037.14.05.59,nassima.messikh@ansej.dz,7.440801859,36.45505252,24,GUELMA
733,Cité des 80 bureaux Route Sedrata Guelma,HAMMAM DEBAGH,037.14.05.05,037.14.05.05,hadda.lamouri@ansej.dz,7.440801859,36.45505252,24,GUELMA
734,"Maison de la culture, Rue Khmisti Mohamed Heliopolis",HELIOPOLIS,037.13.43.65,037.13.43.65,fouad.nahal@ansej.dz,7.441347688,36.50449387,24,GUELMA
757,Cité Administrative Ali Mendjeli El khroub,AIN ABID,031.67.10.40,031.67.10.40,mehdi.benghnissa@ansej.dz,6.947163,36.228457,25,CONSTANTINE
758,Cité Administrative Ali Mendjeli El khroub,ALI MENDJELI,031.67.10.40,031.67.10.40,samir.mouatsi@ansej.dz,6.57968536,36.25798242,25,CONSTANTINE
