id,code,nom,type,address,e-mail,fax,tel,wilayas of attachment,lat,lon
1,1,ADRAR,Agence,"CITE 500 VILLAS CNEP N°40, ADRAR",adrar@angem.dz,049 96 76 19,049 96 46 74,ADRAR,27.8801383862469,-0.281886521071581
2,2,CHLEF,Agence,"RUE DJOUBA, HAY BEN SOUNA, CHLEF ",chlef@angem.dz,027 79 21 59,027 79 21 58,CHLEF,36.1609205,1.3155951
3,3,LAGHOUAT,Agence,AVENUE 05 JUILLET MAAMOURAH-LAGHOUAT,laghouat@angem.dz,029 13 25 37,029 13 25 38,LAGHOUAT,33.8078341,2.8628294
4,4,OEB,Agence,ANCIENNNE CITE ADMINISTRATIVE BP 2002 Oum El Bouaghi,oumelbouaghi@angem.dz,032 56 51 67,032 56 52 43,OEB,35.8688789,7.1108266
5,5,BATNA,Agence,CITE NACER CITE ADMINISTRATIVE BLOC 02 BATNA,batna@angem.dz,033 25 39 79,033 25 39 78,BATNA,35.5471370550193,6.16736895983179
6,6,BEJAIA,Antenne,"BVD KRIM BELKACEM,CENTRE D'AFFAIRES BEJAIA",arbejaia@angem.dz,034 11 31 26,034 11 31 25,"Bejaia, Tizi Ouzou, BBA, Setif, Bouira",36.7447441,5.0478443
7,6,BEJAIA,Agence,"RUE DE LA LIBERTE ,BLOC ADMINISTRATIF EX SIEGE DES AFFAIRES RELIGIEUSES BEJAIA",bejaia@angem.dz,034 22 94 80,034 22 94 84,BEJAIA,36.7515258,5.0556837
8,7,BISKRA,Antenne,BLOC N°06 CITE 200/500(PRES DE LA MOSQUEE EL FATEH) El Alia- biskra,arbiskra@angem.dz,033 51 53 17,033 51 53 17,"Biskra, El Oued, Khenchla, Tebessa",34.8458050104803,5.71142442387417
9,7,BISKRA,Agence,BLOC N° 06 CITE 200/500 (PRES DE LA MOSQUEE EL FATEH)EL ALLIA-BISKRA,biskra@angem.dz,033 51 53 55,033 51 53 56,BISKRA,34.8458046752872,5.71142408868102
10,8,BECHAR,Antenne,Ex hôpital 600 lit Bechar,arbechar@angem.dz,049 23 83 12,049 23 83 13,"Bechar, Tindouf, Adrar,Naama, El Bayadh",31.6238098,-2.2162443
11,8,BECHAR,Agence,CITE AISSET IDIR BECHAR,bechar@angem.dz,049 22 06 69,049 22 06 69,BECHAR,31.6238098,-2.2162443
12,9,BLIDA,Agence,CITE BOUNAAMA DJILALI BT 90 BLIDA,blida@angem.dz,025 22 95 26,025 22 95 25,BLIDA,36.4837822,2.8159605
13,10,BOUIRA,Agence,CITE 56 LGTS BT F ENTREE 02 A COTE DU STADE MUNICIPAL BOUROUBA-BOUIRA,bouira@angem.dz,026 72 02 72,026 72 02 72,BOUIRA,36.3756900700115,3.88895269673146
14,11,TAMANRASSET,Agence,CITE 104 LOGEMENTS SERSOUF TAMANRASSET,tamanrasset@angem.dz,029 31 41 70,029 31 55 55,TAMANRASSET,22.7902972,5.5193268
15,12,TEBESSA,Agence,CITE AADL BLOC 1 ER ETAGE-TEBESSA,tebessa@angem.dz,037 50 62 54,037 50 63 17,TEBESSA,35.4010797,8.1172958
16,13,TLEMCEN,Agence,CITE ENSEMBLE IMMOBILIER IMAMA ILOT 3 TELMCEN,tlemcen@angem.dz,043 38 20 33,043 38 22 05,TLEMCEN,34.8838296,-1.3486641
17,14,TIARET,Antenne,"Cité Sonatiba lot 02, superposé N° 102 Tiaret",artiaret@angem.dz,046 22 55 97,046 22 55 97,"Tiaret, Relizane, Saida, Ain Defla, Chlef, Tissemsilt",35.3604826,1.3402953
18,14,TIARET,Agence,"CITE SONATIBA LOT 02, SUPERPOSE N° 102 TIARET ",tiaret@angem.dz,046 20 87 14,046 20 87 13,TIARET,35.3604826,1.3402953
