code,nom,type,adresses,e-mail,fax,tel,wilayas de rattachement,lat,lon
23,ANNABA,Antenne,Cité AADL 221 logs Bloc w24 S01 ET S02 sidi achour ANNABA,arannaba@angem.dz,038 47 93 12,038 47 93 12,"Annaba, El taref, Skikda, Souk Ahras, Guelma",36.878511,7.7146099
7,BISKRA,Antenne,BLOC N°06 CITE 200/500(PRES DE LA MOSQUEE EL FATEH) El Alia- biskra,arbiskra@angem.dz,033 51 53 17,033 51 53 17,"Biskra, El Oued, Khenchla, Tebessa",37.1727454,10.0331692
6,BEJAIA,Antenne,"BVD KRIM BELKACEM,CENTRE D'AFFAIRES BEJAIA",arbejaia@angem.dz,034 11 31 26,034 11 31 25,"Bejaia, Tizi Ouzou, BBA, Setif, Bouira",36.7447441,5.0478443
8,BECHAR,Antenne,Ex hôpital 600 lit Bechar,arbechar@angem.dz,049 23 83 12,049 23 83 13,"Bechar, Tindouf, Adrar,Naama, El Bayadh",31.6238098,-2.2162443
25,CONSTANTINE,Antenne,204 logements SOREM tour C2 Nouvelle Ville Ali Mendjeli CONSTANTINE,arconstantine@angem.dz,031 74 74 60,031 74 74 64,"Constantine, Jijel, Mila, O E B, Batna",36.2570374,6.5831384
17,DJELFA,Antenne,"Cité DAR EL BAROUD, Djelfa. (EX Siège de la CASNOS) DJELFA",ardjelfa@angem.dz,027 91 43 59,027 91 43 51,"Djelfa, Laghouat, Medea, M'Sila",34.6703956,3.2503761
30,OUARGLA,Antenne,Ex CENTRE COMMERCIALE OUARGLA,arouargla@angem.dz,029.76 44 97,029.76 93 10,"Ouargla, Ghardaia, Illizi, Tamanrasset",31.9416083,5.3068146
22,SIDI BELLABES,Antenne,"Avenue Abbane Ramadane prolongée, cité 106 logts -Sidi Yacine SIDI BEL ABBES",arsba@angem.dz,048 76 14 06,048 76 14 05,"SBA, Mostaganem,Oran,Mascara, Ain Temouchent, Tlemcen",35.2105876,-0.629983
14,TIARET,Antenne,"Cité Sonatiba lot 02, superposé N° 102 Tiaret",artiaret@angem.dz,046 22 55 97,046 22 55 97,"Tiaret, Relizane, Saida, Ain Defla, Chlef, Tissemsilt",35.3604826,1.3402953
42,TIPAZA,Antenne,ROUTE DE LA GENDARMERIE NATIONALE TIPAZA,artipaza@angem.dz,024 37 70 34,023 37 70 35,"Tipaza, Alger-Est, Alger-Ouest, Blida, Boumerdes",36.5906719,2.4433723
1,ADRAR,Agence,"CITE 500 VILLAS CNEP N°40, ADRAR",adrar@angem.dz,049 96 76 19,049 96 46 74,ADRAR,28.0174403,-0.2642497
2,CHLEF,Agence,"RUE DJOUBA, HAY BEN SOUNA, CHLEF ",chlef@angem.dz,027 79 21 59,027 79 21 58,CHLEF,36.1609205,1.3155951
