num, id, parentkey, title, browser, language, displorder, address1, address2, city, phone1, phone2, fax, email, mgr_title, mgr_fname, lat, lon 
0, "1", "batna", "Djelfa", "Djelfa", "FR", "18", "Hai Guenani, lot 163, Lotissement N°339", "", "Djelfa", "027 87 22 21 / 027 87 64 61", "", "+213 (0) 27 87 57 84", "djelfa@agb.dz", "Agence ", "Djelfa", "34.6673123", "3.2642067"
1, "2", "skikda", "Skikda", "Skikda", "FR", "101", "N133 d cite freres saadi EX 1000 loge freressaadi 2100  Skikda", "", "SKIKDA", "038 70 79 70  / 038 70 79 71 / 038 70 79 58 ", "", "038 70 79 46", "skikda@agb.dz", "Agence ", "Skikda", "36.8713289", "6.9102513"
2, "3", "skikda", "Self Banking Skikda", "Self Banking Skikda", "FR", "113", "133B, Allée du 20 Août 1955", "", "SKIKDA", "", "", "", "", "Agence ", "Self Banking Skikda", "36.871577", "6.911847"
3, "4", "alger", "DIDOUCHE MOURAD (Self Banking)", "DIDOUCHE MOURAD (Self Banking)", "FR", "15", "01 bis, rue Didouche Mourad", "", "ALGER", "", "", "", "", "Agence ", "DIDOUCHE MOURAD (Self Banking)", "36.77159", "3.057602"
4, "5", "blida", "BLIDA", "BLIDA", "FR", "5", "61, Avenue Kritli Mokhtar", "", "BLIDA", "025 22 46 33 / 025 22 44 40 /025 23 79 47 / 025 22 44 23", "", "025 32 13 20", "blida@agb.dz", "Agence ", "BLIDA", "36.481976", "2.836706"
5, "9", "blida", "BLIDA 2", "BLIDA 2", "FR", "5", "Ben Boulaid Zone Industrielle Ben Boulaid, Lot N°14 - Blida.", "", "BLIDA", "025 22 53 57 / 025 22 53 58 /025 22 53 59", "", "025 32 13 20", " blidabenboulaid@agb.dz", "Agence ", "BLIDA Benboulaid", "36.49323", "2.833663"
6, "9", "boumerdes", "BOUMERDES", "BOUMERDES", "FR", "5", "Hai Driche, n°8 - Boumerdès.", "", "BOUMERDES", "024 79 96 03 / 024 79 96 05 /024 79 94 92", "", "024 79 96 05", "boumerdes@agb.dz", "Agence ", "BOUMERDES", "36.750579", "3.473218"
7, "6", "oumelbouaghi", "AIN MLILA", "AIN MLILA", "FR", "5", "N°01 Hôtel Frères Bouali, Ain M’lila-Oum El Bouaghi.", "", "OUM EL BOUAGHI", "032 50 31 86 / 032 50 31 88 / 032 50 31 89 / 032 50 31 90", "", "024 79 96 05", "ainmlila@agb.dz", "Agence ", "AIN M'LILA", "36.032091", "6.576783"
8, "6", "bordjbouarreridj", "BORDJ BOU ARRERIDJ", "BORDJ BOU ARRERIDJ", "FR", "105", "25, Rue Houari Boumediene, Bordj Bou Arreridj", "", "BORDJ BOU ARRERIDJ", "035 69 05 68 /035 69 05 69 /035 69 05 70", "", "035 69 00 66", "bba@agb.dz", "Agence ", "BORDJ BOU ARRERIDJ", "36.06978", "2.835372"
9, "7", "chlef", "CHLEF 1", "CHLEF 1", "FR", "201", "46, Boulevard des Martyrs, Chlef ", "", "CHLEF", "027 77 51 02 / 027 77 51 61/027 77 51 46 / 0551 79 89 21 ", "", "027 77 51 06", "chlef@agb.dz", "Agence ", "CHLEF 1", "36.167217", "1.333636"
10, "8", "eloued", "EL OUED", "EL OUED", "FR", "115", "Cité jolie vue N°0237, lot 035, Wilaya de El Oued.", "", "EL OUED", "032 11 01 26 / 032 11 01 25", "", "032 11 01 24", "eloued@agb.dz", "Agence ", "EL OUED", "33.368933", "6.850371"
11, "9", "khenchela", "KHENCHLA", "KHENCHLA", "FR", "118", "Rue de Babar", "", "KHENCHLA", "032 73 53 68/032 73 53 70/032 73 53 72", "", "032 32 64 74", "khenchla@agb.dz", "Agence ", "KHENCHLA", "35.417119", "7.139303"
12, "9", "alger", "Baraki", "Baraki", "FR", "118", "Lot 64, Route de l'Arbaà Baraki- Alger", "", "Alger", "023 91 22 47/023 91 22 46", "", "023 91 22 48", "baraki@agb.dz", "Agence ", "BARAKI", "36.663923", "3.093906"
13, "8", "mascara", "MASCARA", "MASCARA", "FR", "206", "Rue Boumeslout N°01, Place Emir Abdelkader, Mascara ", "", "MASCARA", "045 75 21 98 / 045 75 29 82 /045 75 29 82", "", "045 80 19 99", "mascara@agb.dz", "Agence ", "MASCARA", "35.395709", "0.139753"
14, "9", "mostaganem", "MOSTAGANEM", "MOSTAGANEM", "FR", "204", "Route de Dahra centre-ville, Mostaganem", "", "MOSTAGANEM", "045 21 67 34 / 045 21 67 48", "", "045 21 67 83", "mostaganem@agb.dz", "Agence ", "MOSTAGANEM", "35.931974", "0.093153"
15, "10", "batna", "BATNA", "BATNA", "FR", "103", "Lotissement Abdessemed route de Biskra, Batna ", "", "BATNA", "033 86 80 54/033 86 80 49 / 033 86 81 87", "", "033 81 96 43", "batna@agb.dz", "Agence ", "BATNA", "35.5434784", "6.1629776"
16, "11", "sidibelabbes", "SIDI BEL ABBES", "SIDI BEL ABBES", "FR", "203", "N° 8, angle de AV Cheikh Larbi Tebessi & Colonel Lotfi, Sidi Bel Abbes ", "", "SIDI BEL ABBES", "048 65 25 57 /048 65 25 58/048 65 25 59/048 65 25 60", "", "048 65 25 56", "sidibelabbes@agb.dz", "Agence ", "SIDI BEL ABBES", "35.19086", "-0.634415"
17, "12", "skikda", "SKIKDA", "SKIKDA", "FR", "101", "N133 d cite freres saadi EX 1000 loge freressaadi 2100  Skikda", "", "SKIKDA", "038 70 79 70  / 038 70 79 71 / 038 70 79 58 ", "", "038 70 79 46", "skikda@agb.dz", "Agence ", "SKIKDA", "36.871577", "6.911847"
18, "13", "tiaret", "TIARET", "TIARET", "FR", "207", "Boulevard Ben Badis,Tiaret", "", "TIARET", "046 20 24 00/046 20 24 02/046 20 24 03", "", "", "tiaret@agb.dz", "Agence ", "TIARET", "35.37491", "1.315975"
19, "14", "tipaza", "BOUSMAIL", "BOUSMAIL", "FR", "6", "Rue du 1er Novembre, Bousmail ", "", "TIPAZA", "024 32 15 96 / 024 32 15 95 / 024 32 15 94 / 024 32 15 93 ", "", "024 46 73 97", "bousmail@agb.dz", "Agence ", "BOUSMAIL", "36.640325", "2.699853"
20, "15", "djelfa", "DJELFA", "DJELFA", "FR", "18", "Hai Guenani lot 163, lotissement N°339, Commune et Wilaya de Djelfa", "", "DJELFA", "027 87 22 21 / 027 87 64 61", "", "", "djelfa@agb.dz", "Agence ", "DJELFA", "34.665992", "3.254896"
21, "18", "relizane", "RELIZANE", "RELIZANE", "FR", "211", "Rue Aoued Ben Djabbar, Commune et W Relizane", "", "RELIZANE", "046 71 61 14/046 71 61 16/046 71 61 17 ", "", "", "relizane@agb.dz", "Agence ", "RELIZANE", "35.740131", "0.548957"
22, "19", "saida", "SAIDA", "SAIDA", "FR", "208", "Rue Boukhars N°13, Saida ", "", "SAIDA", "048 43 37 57 / 048 43 34 72 / 048 43 36 01", "", "048 51 52 60", "saida@agb.dz", "Agence ", "SAIDA", "34.844025", "0.14375"
23, "16", "bouira", "BOUIRA", "BOUIRA", "FR", "17", "01 .axe finnacier cite ouest 10000, Bouira ", "", "BOUIRA", "026 93 56 47 / 026 93 56 26-23/ 026 93 56 26 ", "", "026 93 56 51", "bouira@agb.dz", "Agence ", "BOUIRA", "36.374995", "3.888221"
24, "17", "bejaia", "AKBOU", "AKBOU", "FR", "108", "Zhun nouvelle ville 06001 Akbou, Béjaia ", "", "BEJAIA", "034 36 73 15/034 36 73 16/034 36 73 17/034 36 73 18", "", " 034 33 44 63 / 034 36 79 80", "akbou@agb.dz", "Agence ", "AKBOU", "36.45706", "4.531324"
25, "18", "alger", "BAINEM", "BAINEM", "FR", "8", "46, Route Nationale N°11 Bainem-Falaise, Hammamet, Alger ", "", "ALGER", "023 06 33 80 / 023 06 33 79 / 021 95 91 16", "", "021 95 91 00 / 021 95 90 95", "bainem@agb.dz", "Agence ", "BAINEM", "36.813093", "2.963890"
26, "19", "alger", "BAB EL OUED", "BAB EL OUED", "FR", "9", "22, Avenue du 1er Novembre Casbah, Alger ", "", "ALGER", "021 74 43 25 / 021 74 43 26 / 021 74 43 27", "", "21744329", "babeloued@agb.dz", "Agence ", "BAB EL OUED", "36.787073", "3.063161"
27, "20", "alger", "TIXRAINE", "TIXRAINE", "FR", "7", "9, Rue El Quadous, Tixraine, Birkhadem, Alger", "", "ALGER", "0770 27 48 49/ 0770 27 48 50", "", "", "tixraine@agb.dz", "Agence ", "TIXRAINE", "36.7368306", "3.04046630859375"
28, "21", "alger", "SIDI FREDJ (Self Banking)", "SIDI FREDJ (Self Banking)", "FR", "700", "Hôtel El Manar, Complexe Touristique Sidi Fredj, Staoueli, Alger", "", "ALGER", "", "", "", "", "Agence ", "SIDI FREDJ (Self Banking)", "36.763114", "2.843978"
29, "22", "adrar", "ADRAR", "ADRAR", "FR", "212", "Rue des martyrs(ex Abdelkader El Djilali) ilot 180 N°32,Adrar", "", "ADRAR", "049 36 72 78/ 049 36 10 56 / 049 36 72 79 / 049 36 72 77 / 049 36 76 52 ", "", "", "adrar@agb.dz", "Agence ", "ADRAR", "27.873864", "-0.286629"
30, "23", "alger", "BELOUIZDED", "BELOUIZDED", "FR", "23", "143 rue Hassiba Ben Bouali, commune de Belouizdad Wilaya d’Alger", "", "ALGER", "021 67 37 70 / 021 67 40 98 / 021 67 79 75 / 021 67 79 82", "", "021 67 41 14", "Belouizdad@agb.dz", "Agence ", "BELOUIZDED", "36.7574184", "3.0636998999999605"
31, "28", "alger", "DELY IBRAHIM", "DELY IBRAHIM", "FR", "1", "211, Bois des Cars 2, Dely Brahim, Alger ", "", "ALGER", "021 91 70 12 / 021 91 70 14 /021 91 70 37 ", "", "021 91 07 81", "dely.brahim@agb.dz", "Agence ", "DELY IBRAHIM", "36.753675", "2.976194"
32, "29", "constantine", "CONSTANTINE", "CONSTANTINE", "FR", "109", "06 cite ali besbes , sidi mabrouk 2500  Boulevard de l’Est, Constantine", "", "CONSTANTINE", "031 73 21 41 /031 73 21 42 /031 73 21 43 ", "", "031 73 21 55", "constantine@agb.dz", "Agence ", "CONSTANTINE", "36.365025366916754", "6.644227429437637"
33, "24", "tebessa", "TEBESSA", "TEBESSA", "FR", "111", "Villa Haï 11 Décembre 1960, Tebessa.", "", "TEBESSA", "037 58 00 25 / 037 58 00 55 / 037 58 00 13", "", "037 58 00 68", "tebessa@agb.dz", "Agence ", "TEBESSA", "35.4", "8.116667000000007"
34, "25", "oran", "ORAN 1", "ORAN 1", "FR", "200", "19, Avenue Sidi Chahmi hai khaldia , Oran ", "", "ORAN", "041 74 60 51/ 041 74 60 52 /041 74 60 58", "", "041 74 60 58", "oran@agb.dz", "Agence ", "ORAN 1", "35.693103", "-0.63031"
35, "26", "oran", "ORAN SEDDIKIA", "ORAN SEDDIKIA", "FR", "205", "22, Lot Hay El Amir Abdelkader, Seddikia, Oran", "", "ORAN", "041 53 75 24 /041 53 75 26 / 041 53 75 27/041 53 75 28 /041 53 75 30/ 041 53 75 32 ", "", "041 53 75 31", "oran2@agb.dz", "Agence ", "ORAN SEDDIKIA", "35.712004", "-0.596106"
36, "27", "aindefla", "AIN DEFLA", "AIN DEFLA", "FR", "210", "Rue Amir Abdelkader, N° 148, Wilaya de Ain Defla", "", "AIN DEFLA", "027 50 16 90/027 50 16 91/027 50 16 92", "", "", "aindefla@agb.dz", "Agence ", "AIN DEFLA", "36.264427", "1.963983"
37, "28", "alger", "ROUIBA", "ROUIBA", "FR", "10", "Rue du 1er Novembre, N°79. Rouiba, Alger ", "", "ALGER", "023 86 04 12 / 023 86 04 13", "", "023 86 04 14", "rouiba@agb.dz", "Agence ", "ROUIBA", "36.737113", "3.286961"
38, "29", "alger", "LES SOURCES", "LES SOURCES", "FR", "3", "2, Rue Guy De Maupassant, Alger", "", "ALGER", "021 44 93 23 /021 44 93 09 /021 44 93 01", "", "021 44 92 77", "lessources@agb.dz", "Agence ", "LES SOURCES", "36.733856", "3.062128"
39, "30", "alger", "BORDJ EL BAHRI", "BORDJ EL BAHRI", "FR", "12", "Lotissement 20 Août, N°621 Bordj El Bahri", "", "ALGER", "023 87 18 90/023 87 18 91 /023 87 18  92 /023 87 18 93", "", "", "bordjelbahri@agb.dz", "Agence ", "BORDJ EL BAHRI", "36.779133", "3.240468"
40, "31", "laghouat", "LAGHOUAT", "LAGHOUAT", "FR", "19", "Rue de l’Indépendance,03000 Laghouat", "", "LAGHOUAT", "029 10 16 39/ 029 10 16 32/ 029  10 16 36/ 029 10 16 29/ 029 10 15 60 - 61", "", "029 92 51 86", "laghouat@agb.dz", "Agence ", "LAGHOUAT", "33.804342", "2.876498"
41, "38", "msila", "MSILA", "MSILA", "FR", "117", "Cité de 361 logts lot N°02 M'sila", "", "MSILA", "035 38 92 33/035 38 92 34/ 035 38 97 53 /035 38 97 14", "", "035 55 49 22/ 035 55 48 99", "msila@agb.dz", "Agence ", "MSILA", "35.7212665", "4.4485173"
42, "39", "aintemouchent", "AIN TEMOUCHENT", "AIN TEMOUCHENT", "FR", "209", "Zone urbaine N°01, Rue Mohamed Boudiaf, Ain Timouchent", "", "AIN TEMOUCHENT", "043 79 58 32 /043 79 58 31", "", "043 79 58 30", "aintemouchent@agb.dz", "Agence ", "AIN TEMOUCHENT", "35.309524151322236", "-1.1380917951464653"
43, "32", "bechar", "BECHAR", "BECHAR", "FR", "214", "Zone industrielle "auparavant", Lot 48 lotissement N°130", "", "BECHAR", "049 21 64 64 / 049 21 52 52", "", "049 21 36 36", "bechar@agb.dz", "Agence ", "BECHAR", "31.6182492", "-2.2143231000000014"
44, "33", "tiziouzou", "TIZI OUZOU", "TIZI OUZOU", "FR", "120", "Rue Stiti Ali, N°15, Tizi Ouzou", "", "TIZI OUZOU", "026 20 92 76 / 026 20 92 67", "", "026 20 92 69 / 026 20 92 72", "tiziouzou@agb.dz", "Agence ", "TIZI OUZOU", "36.709536", "4.035562"
45, "34", "bejaia", "BEJAIA", "BEJAIA", "FR", "107", "N°13, Boulevard Krim Belkacem, Béjaia", "", "BEJAIA", "034 16 31 40 / 41/42 /43", "", "", "bejaia@agb.dz", "Agence ", "BEJAIA", "36.749083", "5.05423"
46, "35", "alger", "BABA HASSEN", "BABA HASSEN", "FR", "4", "30, Rue Messahel Mohamed, Alger", "", "ALGER", "021 31 13 48 / 021 31 13 49-50", "", "021 31 13 51", "baba.hassen@agb.dz", "Agence ", "BABA HASSEN", "36.696849", "2.970001"
47, "36", "guelma", "GUELMA", "GUELMA", "FR", "114", "Avenue ElKarma, cité Hossne ElIstikbal, ex N°1, actuel N°27, Guelma", "", "GUELMA", "037 26 77 64/ 037 26 77 65/ 037 26 77 66", "", "", "guelma@agb.dz", "Agence ", "GUELMA", "36.460719", "7.438535"
48, "37", "tlemcen", "TLEMCEN", "TLEMCEN", "FR", "202", "N°5 Bd Mohamed V, Hai Bab el Khemis, Tlemcen", "", "TLEMCEN", "043 41 74 37/ 38/39/40", "", "043 38 35 89", "tlemcen@agb.dz", "Agence ", "TLEMCEN", "34.874373", "-1.324527"
49, "38", "alger", "BIRTOUTA", "BIRTOUTA", "FR", "11", "14, Triangles exhibes, Birtouta, Alger", "", "Alger", "021 44 15 99 /021 44 16 00/01/02", "", "", "birtouta@agb.dz", "Agence ", "BIRTOUTA", "36.641205", "2.98862"
50, "39", "alger", "EL MOURADIA", "EL MOURADIA", "FR", "2", "Route Mohamed Gacem n°14-16 El Mouradia, Alger", "", "ALGER", "021 69 88 78 /021 69 70 89 / 021 69 76 80 / 021 69 84 73", "", "021 60 36 07", "elmouradia@agb.dz", "Agence ", "EL MOURADIA", "36.747949", "3.052815"
51, "48", "sétif", "SETIF", "SETIF", "FR", "100", "143 , Boulevard   couperative boutaleb 19000 , Setif", "", "SETIF", "036 51 46 57 /036 51 46 58 /036 51 46 59", "", "036 51 62 88", "setif@agb.dz", "Agence ", "SETIF", "36.200545", "5.410669"
52, "49", "tipaza", "KOLEA", "KOLEA", "FR", "22", "Route de fouka bt12 A bis commune de kolea TIPAZA", "", "TIPAZA", "024 36 21 40/ 024 36 22 33/ 024 36 23 38", "", "", "kolea@agb.dz", "Agence ", "KOLEA", "36.648691", "2.762462"
53, "40", "alger", "KOUBA", "KOUBA", "FR", "14", "Parc Ben Omar, N°27, Kouba", "", "ALGER", "021 68 78 74/ 023 78 23 64 /23 78 11 27", "", "", "kouba@agb.dz", "Agence ", "KOUBA", "36.728325", "3.088679"
54, "41", "ghardaia", "GHARDAIA", "GHARDAIA", "FR", "20", "Rue du 1er novembre, Wilaya de Ghardaïa", "", "GHARDAIA", "029 23 34 41 / 029 23 34 43", "", "029 23 36 68", "ghardaia@agb.dz", "Agence ", "GHARDAIA", "32.47536", "3.688715"
55, "42", "jijel", "JIJEL", "JIJEL", "FR", "116", "Rue Rouikha Mokhtar, cité Ouled Aissa, Wilaya de Jijel", "", "JIJEL", "034 47 34 34 /034 47 16 16", "", "034 47 44 00", "jijel@agb.dz", "Agence ", "JIJEL", "36.8045041", "5.753700400000071"
56, "43", "annaba", "ANNABA 2", "ANNABA 2", "FR", "112", "Angle de la rue Bouzerad Hussein, N° 82, Rue de l’Afrique, Annaba", "", "ANNABA", "038 44 93 04/038 44 93 08 /13", "", "038 84 93 10", "annaba2@agb.dz", "Agence ", "ANNABA 2", "36.897367", "7.74966"
