id,nom,email,adresse,wilaya,code_wilay,tel,fax,long,lat
"0",250 - Agence ADRAR,agadrar250@bna.dz,Grande Place des Martyrs - 01000 Adrar,Adrar,"1",(049) 36 78 43 - (049) 36 78 42,(049) 36 78 46,-0.289821413459744,27.871741298803833
"1",251 - Agence TIMIMOUN,agtimimoun251@bna.dz,Place du 1er Novembre - 01400 Timimoune,Adrar,"1",(049) 30 03 87 - (049) 30 03 90,(049) 30 03 92,0.241596400000000,29.261691100000000
"2",413 - Agence AOULEF,agaoulef413@bna.dz,Marché Couvert Place Aoulef - 01300 Aoulef,Adrar,"1",(049) 32 77 47 - (049) 32 77 77,(049) 32 77 62,1.081003100000000,26.972326400000000
"3",260 - Agence CHLEF,agchlef260@bna.dz,21 Rue Ibn Badis - 02000 Chlef,Chlef,"2",(027) 77 18 62 - (027) 77 16 24 - (027) 77 77 05,(027) 77 08 53 - (027) 77 16 24 - (027) 77 77 05,1.341032400000000,36.167670100000002
"4",275 - AP CHLEF,apchlef275@bna.dz,32 Rue Des Martyrs 02000 Chlef,Chlef,"2",(027) 77 71 62 - 77 28 35 - (027) 79 06 21 - (027) 77 71 68,(027) 77 71 68 - (027) 77 28 43,1.337282300000000,36.157966399999999
"5",279 - Agence TENES,agtenes279@bna.dz,Rue Allel Ahmed N°74 -Tenes - 02006 W/CHLEF,Chlef,"2",(027) 76 83 63 - (027) 76 94 23,(027) 76 73 06 - (027) 76 94 23,1.337282300000000,36.157966399999999
"6",297 - Agence AFLOU,agaflou297@bna.dz,Bd Emir AbdelKader - 03400 Aflou W. Laghouat,Laghouat,"3",(029) 16 72 01 - (029) 16 60 44,(029) 16 60 44,2.097385400000000,34.113951800000002
"7",301 - AP LAGHOUAT,aplaghouat301@bna.dz,Rue Bensahnoun - El-Maâmoura - 03000 Laghouat,Laghouat,"3",(029) 13 27 51/ 52/ 55/ 54,(029) 13 27 50,2.862829400000000,33.807834100000001
"8",316 - Agence OUM EL BOUAGUI,agoumelbouaghi316@bna.dz,Cité Errasd - Oum El Bouaghi,Oum El Bouaghi,"4",(032) 42 95 87 - 42 84 77 (032) 42 80 00,(032) 42 85 43,7.090309000000000,35.878009100000000
"10",325 - Agence AIN MLILA,againmlila325@bna.dz,Route Batna - Centre Commercial - Ain M'Lila - W. Oum El Bouaghi,Oum El Bouaghi,"4",(032) 52 40 49,(032) 452 40 50,6.573786300000000,36.034397200000001
"12",842 - Agence OUM EL BOUAGHI,agoumelbouaghi842@bna.dz,Place du 1er Novembre - Oum El Bouaghi,Oum El Bouaghi,"4",(032) 54 21 64 - (032) 54 27 51 - (032) 54 26 06 - (032) 54 25 78,(032) 54 26 06 - (032) 54 25 78,7.119866099999999,35.874841199999999
"13",335 - AP BATNA,apbatna335@bna.dz,14 - Rue des Fidayines - 05000 Batna,Batna,"5",(033) 80 38 39 - (033) 80 59 76 - (030) 36 18 97 - (033) 80 58 46,(033) 80 58 46,6.176840400000000,35.553963299999999
"14",336 - Agence BATNA,agbatna336@bna.dz,Cité 742 logements - 05000 Batna,Batna,"5",(033) 85 42 30 - (033) 80 70 35,(033) 80 70 35,6.186178800000000,35.533474599999998
"15",340- Agence BARIKA,agbarika340@bna.dz,Rue Yahiaoui Amar 3éme Tranche n°27 - 05400 Barika - W.Batna,Batna,"5",(033) 39 11 06 / 12/ 20,(033) 39 11 89,5.370363300000000,35.387774700000001
"16",356 - AP BEJAIA,apbejaia356@bna.dz,Cité tobbal- BP 60 Ter - Béjaia Liberté 06000 - Béjaïa,Bejaia,"6",(034) 16 07 82/ 83/ 84/ 85/ 86/ 87/ 88 - (034) 16 06 86 - (034) 16 07 90,(034) 16 07 82 - (034) 16 00 22,5.071743500000000,36.750008299999998
"17",586 - Agence TAZMALT,agtazmalt586@bna.dz,Cité des 60 Logts - n°15 - 05270 Tazmalt - W. Béjaïa,Bejaia,"6",(034) 31 71 99 - (034) 31 72 56 - (034) 31 70 97,(034) 31 71 99 - (034) 31 70 97,4.395497100000000,36.390381800000000
"18",587 - Agence IHADDADEN,agihaddaden587@bna.dz,Bd Krim Belkacem - Ihaddaden - 06000 Béjaia,Bejaia,"6",(034) 12 05 96 - 12 05 86 - (034) 12 05 83 - (034) 16 06 39 - (034)12 05 84,(034) 12 05 98 - (034) 12 05 92,5.055683699999999,36.751525800000003
"19",588 - Agence BEJAIA,agbejaia588@bna.dz,4 Place du 1er Novembre - BP 86 - 05000 Béjaïa Ville,Bejaia,"6",(034) 17 47 59 - (034) 17 47 23 - (034) 17 47 55 - (034) 17 47 56 - (034) 17 47 36,(034) 17 47 22 - (034) 17 47 35,5.085491999999999,36.752529699999997
