id,nom,email,adresse,wilaya,code_wilay,tel,fax,long,lat
"0",250 - Agence ADRAR,agadrar250@bna.dz,Grande Place des Martyrs - 01000 Adrar,Adrar,"1",(049) 36 78 43 - (049) 36 78 42,(049) 36 78 46,-0.289821413459744,27.8717412988038
"1",251 - Agence TIMIMOUN,agtimimoun251@bna.dz,Place du 1er Novembre - 01400 Timimoune,Adrar,"1",(049) 30 03 87 - (049) 30 03 90,(049) 30 03 92,0.2415964,29.2616911
"2",413 - Agence AOULEF,agaoulef413@bna.dz,Marché Couvert Place Aoulef - 01300 Aoulef,Adrar,"1",(049) 32 77 47 - (049) 32 77 77,(049) 32 77 62,1.0810031,26.9723264
"3",260 - Agence CHLEF,agchlef260@bna.dz,21 Rue Ibn Badis - 02000 Chlef,Chlef,"2",(027) 77 18 62 - (027) 77 16 24 - (027) 77 77 05,(027) 77 08 53 - (027) 77 16 24 - (027) 77 77 05,1.3410324,36.1676701
"4",275 - AP CHLEF,apchlef275@bna.dz,32 Rue Des Martyrs 02000 Chlef,Chlef,"2",(027) 77 71 62 - 77 28 35 - (027) 79 06 21 - (027) 77 71 68,(027) 77 71 68 - (027) 77 28 43,1.3372823,36.1579664
"5",279 - Agence TENES,agtenes279@bna.dz,Rue Allel Ahmed N°74 -Tenes - 02006 W/CHLEF,Chlef,"2",(027) 76 83 63 - (027) 76 94 23,(027) 76 73 06 - (027) 76 94 23,1.3372823,36.1579664
"6",297 - Agence AFLOU,agaflou297@bna.dz,Bd Emir AbdelKader - 03400 Aflou W. Laghouat,Laghouat,"3",(029) 16 72 01 - (029) 16 60 44,(029) 16 60 44,2.0973854,34.1139518
"7",301 - AP LAGHOUAT,aplaghouat301@bna.dz,Rue Bensahnoun - El-Maâmoura - 03000 Laghouat,Laghouat,"3",(029) 13 27 51/ 52/ 55/ 54,(029) 13 27 50,2.8628294,33.8078341
"8",316 - Agence OUM EL BOUAGUI,agoumelbouaghi316@bna.dz,Cité Errasd - Oum El Bouaghi,Oum El Bouaghi,"4",(032) 42 95 87 - 42 84 77 (032) 42 80 00,(032) 42 85 43,7.090309,35.8780091
"9",321 - Agence AIN BEIDA,agoumelbouaghi316@bna.dz,800 route de KHENCHELA N°57 Commune d'Ain Beinda 4200 W. Oum El Bouaghi,Oum El Bouaghi,"4",(032) 69 10 65 - (032) 69 10 79,(032) 69 10 65 - (032) 69 10 79,7.1460155,35.4269404
"10",325 - Agence AIN MLILA,againmlila325@bna.dz,Route Batna - Centre Commercial - Ain M'Lila - W. Oum El Bouaghi,Oum El Bouaghi,"4",(032) 52 40 49,(032) 452 40 50,6.5737863,36.0343972
"11",800 - Agence Ain Beida,agaibeida800@bna.dz,Route de Khenchela n° 57 - Commune d’Ain Beida – 04200 - W. Oum El Bouaghi,Oum El Bouaghi,"4",(032) 68 96 97 - (032) 68 96 93,(032) 68 96 92,7.1460155,35.4269404
"12",842 - Agence OUM EL BOUAGHI,agoumelbouaghi842@bna.dz,Place du 1er Novembre - Oum El Bouaghi,Oum El Bouaghi,"4",(032) 54 21 64 - (032) 54 27 51 - (032) 54 26 06 - (032) 54 25 78,(032) 54 26 06 - (032) 54 25 78,7.1198661,35.8748412
"13",335 - AP BATNA,apbatna335@bna.dz,14 - Rue des Fidayines - 05000 Batna,Batna,"5",(033) 80 38 39 - (033) 80 59 76 - (030) 36 18 97 - (033) 80 58 46,(033) 80 58 46,6.1768404,35.5539633
"14",336 - Agence BATNA,agbatna336@bna.dz,Cité 742 logements - 05000 Batna,Batna,"5",(033) 85 42 30 - (033) 80 70 35,(033) 80 70 35,6.1861788,35.5334746
"15",340- Agence BARIKA,agbarika340@bna.dz,Rue Yahiaoui Amar 3éme Tranche n°27 - 05400 Barika - W.Batna,Batna,"5",(033) 39 11 06 / 12/ 20,(033) 39 11 89,5.3703633,35.3877747
"16",356 - AP BEJAIA,apbejaia356@bna.dz,Cité tobbal- BP 60 Ter - Béjaia Liberté 06000 - Béjaïa,Bejaia,"6",(034) 16 07 82/ 83/ 84/ 85/ 86/ 87/ 88 - (034) 16 06 86 - (034) 16 07 90,(034) 16 07 82 - (034) 16 00 22,5.0717435,36.7500083
"17",586 - Agence TAZMALT,agtazmalt586@bna.dz,Cité des 60 Logts - n°15 - 05270 Tazmalt - W. Béjaïa,Bejaia,"6",(034) 31 71 99 - (034) 31 72 56 - (034) 31 70 97,(034) 31 71 99 - (034) 31 70 97,4.3954971,36.3903818
"18",587 - Agence IHADDADEN,agihaddaden587@bna.dz,Bd Krim Belkacem - Ihaddaden - 06000 Béjaia,Bejaia,"6",(034) 12 05 96 - 12 05 86 - (034) 12 05 83 - (034) 16 06 39 - (034)12 05 84,(034) 12 05 98 - (034) 12 05 92,5.0556837,36.7515258
"19",588 - Agence BEJAIA,agbejaia588@bna.dz,4 Place du 1er Novembre - BP 86 - 05000 Béjaïa Ville,Bejaia,"6",(034) 17 47 59 - (034) 17 47 23 - (034) 17 47 55 - (034) 17 47 56 - (034) 17 47 36,(034) 17 47 22 - (034) 17 47 35,5.085492,36.7525297
"20",589 - Agence AOKAS,agaokas589@bna.dz,Bd Mohemmadi Slimane BP 75 Aokas - W. Béjaïa,Bejaia,"6",(034) 84 74 36 - (043) 84 74 45 - (043) 84 74 35,(034) 84 74 39 - (043) 84 74 45 - (043) 84 74 35,5.2452449,36.6376346
"21",386 - Agence BISKRA,agbiskra386@bna.dz,06 - Rue Mohamed Abbas - 07000 Biskra,Biskra,"7",(033) 52 03 91 - (033) 52 09 48,,5.7248567,34.8449437
"22",387 - Agence BISKRA,agbiskra387@bna.dz,Cité des 1000 logements BT 09 & 10 n°1 Biskra - 07000,Biskra,"7",(033) 54 10 38 - (033) 54 15 91,(033) 54 10 37 / 38,5.7248567,34.8449437
"23",709 - Agence TOLGA,agtolga709@bna.dz,03 Rue Makhloufi Saad – Rissota Est TOLGA - 07300,Biskra,"7",(033) 57 88 38/ 36,(033) 57 88 36,5.38734583538437,34.727704337378
"24",410 - Agence BENI OUNIF,agbeniounif410@bna.dz,Avenue Colonel Lotfi - 08100 Béni - Ounif,Bechar,"8",(049) 25 22 04,(049) 25 22 05,-0.6932948,31.2829035
"25",412 - AP BECHAR,apbechar412@bna.dz,Avenue Colonel Lotfi - 08000 Béchar,Bechar,"8",(049) 22 08 56 - (049) 22 07 53 -,(049) 22 07 43 - 22 07 52,-2.2140398,31.6190312
"26",414 - Agence DEBDABA,agdebdaba414@bna.dz,Bd Emir Abdelkader - Debdaba - 08000 Béchar,Bechar,"8",(049) 22 77 37 - (049) 22 77 41,(049) 22 70 52,-2.2061179,31.6276342
"27",415 - Agence BECHAR,agbechar415@bna.dz,28 Avenue Colonel Lotfi - 08000 Béchar,Bechar,"8",(049) 22 12 38 - (049) 22 12 37 -,(049) 22 12 41,-2.2140398,31.6190312
"28",430 - AP BOUFARIK,apboufarik430@bna.dz,13 - Avenue Souidani Boudjemaa Boufarik - W. Blida,Blida,"9",(025) 48 19 88 - (025) 48 19 90 - (025) 48 15 69,(025) 48 19 88 - (025) 48 25 63,2.9121256,36.5832413
"29",431 - Agence Blida,agblida431@bna.dz,Bd des Martyrs - Blida,Blida,"9",(025) 21 01 65 - (025) 21 01 67 - (025) 21 00 20,(025) 21 01 68,2.8298475,36.4711961
"30",437 - Agence EL AFFROUN,agelaffroun437@bna.dz,Rue Mebarek Chérif - 09200 El Affroun,Blida,"9",(025) 38 79 83 - (025) 38 79 71 - (025) 38 69 53,(025) 38 76 01 - 38 69 25,2.625741,36.4701592
"31",442 - AP BLIDA,aplida442@bna.dz,Bd Takarli Abderrezak - 09000 Blida,Blida,"9",(025) 21 54 01/ 03 - (025) 21 54 80 - (025) 21 53 98 - (025) 21 54 09 - (025) 21 54 05,(025) 21 54 04,2.8323458,36.4716511
"32",445 - Agence LES BANANIERS,aglesbananiers445@bna.dz,Cité des 680 Logts “Les Bananiers” 09000 Blida,Blida,"9",(025) 23 59 18,(025) 23 59 20,2.8109779,36.4852501
"33",460 - Agence BOUIRA,agbouira460@bna.dz,Rue Guettaf Seddik 10000 Bouira,Bouira,"10",(026) 73 92 62/ 68/ 60/ 67,(026) 73 92 68/ 60/ 67,3.9006194,36.3691846
"34",576 - Agence LAKHDARIA,aglakhdaria576@bna.dz,Cité 210 logements - Lakhdaria - W.Bouira,Bouira,"10",(026) 70 35 10 - (026) 70 35 11,(026) 70 35 11,3.5960213,36.5660649
"35",473 - Agence TAMANRASSET,agtamanrasset473@bna.dz,Centre Commercial - 11000 Tamanrasset,Tamanrasset,"11",(029) 31 15 70/ 74/ 69,(029) 31 15 74,5.5224273,22.7841754
"36",483 - Agence TEBESSA,agtebessa483@bna.dz,02 Avenue de la Victoire - 12000 Tébessa,Tébessa,"12",(037) 58 28 17/ 33 (037) 58 31 65,(037) 58 28 33,8.1172958,35.4010797
"37",484 - Agence OUENZA,agouenza484@bna.dz,Place du 1er Novembre 1954 - 12350 Ouenza,Tébessa,"12",(037) 46 90 15 - (037) 67 82 12,(037) 46 90 15 - (037) 67 80 28,8.1325283,35.9518347
