id,name,address,tel,fax,email,lat,lon,code
0,Direction Générale,"5, Passage Abou Hamou Moussa (ex-Daguerre), Alger",021 78 21 28,021 78 21 28,contact@casnos.com.dz,36.769734,3.054099,16
1,ADRAR,Cité 50 villa rue de bouda,049 35 15 17,049 35 15 41,casnos1@casnos.com.dz,27.878449,-0.301357,1
2,ADRAR Timimoun,Cité hassi rambo timimoun,049 90 07 31,049 90 07 31,casnos1@casnos.com.dz,29.265135,0.234078,1
3,ADRAR Reggane,Marché couvert reggane,049 97 11 15,049 97 11 16,casnos1@casnos.com.dz,26.717961,0.174206,1
4,CHLEF,HAY BENSOUNA BT CNEP BLOC (E) CHLEF BP N 179,027 77 44 58,027 77 92 71,casnos02@casnos.com.dz,36.160921,1.315595,2
5,LAGHOUAT,BP 1074 LAGHOUAT,029 14 22 73,029 14 22 73,casnos3@casnos.com.dz,33.7972551,2.8694065,3
6,OUM EL BOUAGHI,RUE BOUKHERCHOUFA MED TAHAR OEB,032 54 52 94,032 54 55 83,casnos4@casnos.com.dz,35.866484,7.112439,4
7,BATNA,Cite 1020 Logts Kechida Batna,033 29 43 77,033 29 43 74,casnos5@casnos.com.dz,35.5545,6.1798,5
8,BATNA AIN TOUTA,Ain Touta,033 35 58 36,,casnos5@casnos.com.dz,35.3912,5.9108,5
9,BATNA ARRIS,Rue Mostafa Ben Boulaid Arris,033 34 33 81,033 34 33 81,casnos5@casnos.com.dz,35.3039,6.3555,5
10,BATNA BARIKA,68 Bloc 40 Cite 712 Logts Barika,033 98 48 11,033 98 48 11,casnos5@casnos.com.dz,35.3935,5.2981,5
11,BATNA MEROUANA,Rue 1er Novembre Merouana,033 33 00 17,033 33 00 17,casnos5@casnos.com.dz,35.6305,5.9106,5
12,BATNA NGAOUS,Cite administ. Fenarou Ngaous,033 47 21 41,,casnos5@casnos.com.dz,35.5568,5.5947,5
13,BEJAIA,BVD KRIM BELKACEM BEJAIA,034 11 30 62,034 11 30 63,casnos6@casnos.com.dz,36.745672,5.0484,6
14,BEJAIA G.S.AKBOU,Cité 130/400 RHP AKBOU,034 33 80 45,034 33 80 45,casnos6@casnos.com.dz,36.459708,4.537895,6
15,BEJAIA G.S.KHERRATA,CER KHERRATA,034 39 25 76,,casnos6@casnos.com.dz,36.482267,5.275531,6
16,BEJAIA G.S.TAZMALT,Rue Meziane chabane TAZMALT,034 31 39 11,,casnos6@casnos.com.dz,36.386034,4.399448,6
17,BEJAIA G.S SIDI AICH,"Route de la Gare, Sidi-Aïch",034 86 05 57,,casnos6@casnos.com.dz,36.610119,4.694488,6
18,BEJAIA G.S. AOKAS,Batiment Ex mtlie AOKAS,034 23 25 93,,casnos6@casnos.com.dz,36.636886,5.240474,6
19,BISKRA,Boulevard Du 20 Aout 1955 BISKRA (07000),033 51 96 62,033 51 96 60,casnos7@casnos.com.dz,34.856241,5.710523,7
20,BECHAR,"cité 68 logements BP 59, Béchar",049 80 11 77,049 80 10 40,casnos8@casnos.com.dz,31.61728,-2.212664,8
21,BLIDA,Bd Mohamed Boudiaf Bloc A1 Blida,025 20 75 40/43,,casnos9@casnos.com.dz,36.484435,2.830919,9
22,BLIDA El Wouroud,"Centre des affaires EL WOUROUD, Local88/89 Bab Dzair Blida",025 21 54 86/85,025 21 54 85,casnos9@casnos.com.dz,36.473061,2.83143,9
23,BLIDA Boufarik,"Rue Si Ben Youcef N°70, Boufarik",025 48 11 09,025 48 11 09,casnos9@casnos.com.dz,36.571421,2.914328,9
24,BLIDA Larbaa,"Centre payeur CNAS, Larbaa",025 46 91 28,025 46 91 28,casnos9@casnos.com.dz,36.568441,3.149005,9
25,BOUIRA,"Cité 130 logts Gouizi Said, Bouira",026 72 41 37,026 72 41 38,casnos10@casnos.com.dz,36.375679,3.891727,10
26,BOUIRA,"Grand Boulevard (Djezzy), Bouira",026 73 51 65,026 73 51 65,casnos10@casnos.com.dz,36.382353,3.889216,10
27,BOUIRA M'chedallah,"Cité 10 logts FNPOS, M'chedallah",026 95 42 88,026 95 42 88,casnos10@casnos.com.dz,36.364686,4.273784,10
28,BOUIRA Lakhdaria,"Cité 15 logts ZDEK ALI, Lakhdaria",026 71 24 92,026 71 24 92,casnos10@casnos.com.dz,36.559423,3.596539,10
29,BOUIRA Ain bessam,Cité 16 logts face de la gare Ain Bessam,026 87 72 94,026 87 72 94,casnos10@casnos.com.dz,36.292375,3.68108,10
30,BOUIRA Sour El Ghozlane,20 logts FNPOS( en face de la gare routière)Sour El Ghozlane,026 96 69 63,026 96 69 63,casnos10@casnos.com.dz,36.134767,3.696103,10
31,TAMANRASSET,CITE ELOUIAM ELMADANI,029 32 01 26,029 32 01 28,casnos11@casnos.com.dz,22.804124,5.512149,11
32,TAMANRASSET IN SALAH,CITE 80 LOGTS,029 38 31 26,029 38 31 26,casnos11@casnos.com.dz,27.203742,2.483852,11
33,TEBESSA,"BOULVARD, HAOUARI BOUMEDIENE TEBESSA",037 50 67 62,037 50 67 64,casnos12@casnos.com.dz,35.400177,8.110596,12
34,TLEMCEN,Résidence el-andaloussia mansourah,043 21 23 89,043 21 54 33,casnos13@casnos.com.dz,34.885528,-1.333889,13
35,TLEMCEN MAGHNIA,Hai ouad ouardfou-maghnia,043 51 63 44,,casnos13@casnos.com.dz,34.8445,-1.749056,13
36,TLEMCEN GAZAOUAT,Rue hadj hamza -ghazaouet,043 46 99 41,,casnos13@casnos.com.dz,35.0965,-1.8645,13
37,TLEMCEN SEBDOU,APC Sebdou,043 54 60 35,,casnos13@casnos.com.dz,34.639917,-1.329944,13
38,TLEMCEN NEDROMA,Rue bouanani ahmed nedrouma,043 45 65 78,,casnos13@casnos.com.dz,34.639917,-1.329944,13
39,TLEMCEN OULED-MIMOUN,N°19 cite 20 duplexe ouled mimoun,043 36 18 36,,casnos13@casnos.com.dz,34.905222,-1.032361,13
40,TLEMCEN REMCHI,CNAS RMECHI,043 57 51 22,,casnos13@casnos.com.dz,35.057722,-1.429778,13
41,TLEMCEN FELLAOUSSEN,CNAS fellaoussen,,,casnos13@casnos.com.dz,35.017806,-1.569361,13
42,TLEMCEN BENSKARNE,CNAS bensekrane,043 59 85 88,,casnos13@casnos.com.dz,35.073583,-1.228417,13
43,TLEMCEN BENI-SENOUS,CNAS benisnous,,,casnos13@casnos.com.dz,34.659472,-1.544833,13
44,TIARET,Route Ain Guesma BP 305 Tiaret,046 21 19 25,047 21 19 53,casnos14@casnos.com.dz,35.3537266,1.3260194,14
45,TIARET SOUGUEUR,CNAS SOUGUEUR,046 28 64 08,047 28 64 08,casnos14@casnos.com.dz,35.185404,1.492365,14
46,TIARET FRENDA,FRENDA,046 40 80 72,047 40 80 72,casnos14@casnos.com.dz,35.0610027,1.0459827,14
47,TIARET KSAR CHELLALA,CNAS KSAR CHELLAL,046 46 75 64,046 46 75 64,casnos14@casnos.com.dz,35.217229,2.316095,14
48,TIARET RAHOUIA,CNAS RAHOUIA,046 46 75 64,046 46 75 64,casnos14@casnos.com.dz,35.52852,1.015047,14
49,TIZI-OUZOU,"Cité 108 logements Boulevard Krim Belkacem Nouvelle ville, Tizi ouzou",026 20 67 52,026 20 67 53,casnos15@casnos.com.dz,36.702126,4.057529,15
50,TIZI-OUZOU Annexe Nouvelle ville,"72, logement EPLP Nouvelle ville ,Tizi ouzou",026 18 34 49,026 18 34 49,casnos15@casnos.com.dz,36.698544,4.047831,15
51,TIZI-OUZOU G/S Larbraa Nath Iraten,"CITE DES 24 LGTS, ROUTE DU LYCEE ILLOULI LNI, Tizi Ozou",026 49 20 21,026 49 20 21,casnos15@casnos.com.dz,36.636679,4.206589,15
52,TIZI-OUZOU G/S Azazga,"RUE BELKACEM HANAFI AZAZGA, Tizi Ozou",026 14 10 25,026 14 10 25,casnos15@casnos.com.dz,36.734386,4.366791,15
53,TIZI-OUZOU G/S ABI YOUCEF,"TACHKIRT ABI YOUCEF Ain el Hammam, Tizi Ozou",026 48 21 91,026 48 21 91,casnos15@casnos.com.dz,36.538835,4.343005,15
54,TIZI-OUZOU G/S Boghni,"32 LGTS LSP (A COTE DE LA CNAS) BOGHNI, Tizi ouzou",026 38 41 81,026 38 41 81,casnos15@casnos.com.dz,36.541055,3.955875,15
55,TIZI-OUZOU G/S Ouacif,"Rue de la gare routière Oucifs, Tizi Ouzou",026 33 18 73,026 33 18 73,casnos15@casnos.com.dz,36.524401,4.205023,15
56,TIZI-OUZOU G/S Tigzirt,"Cité des 60 logements axe Lycée Toumi Tigzirt, Tizi Ozou",026 15 85 03,026 15 85 03,casnos15@casnos.com.dz,36.889928,4.121,15
57,TIZI-OUZOU G/S Azeffoun,"Stade communal Azeffoun, Tizi Ozou",026 45 04 02,026 45 04 02,casnos15@casnos.com.dz,36.890997,4.422925,15
58,ALGER EST Victor Hugo et Agence,09 Boulevard Victor Hugo Alger Centre,021 71 55 12,021 71 55 12,casnos16@casnos.com.dz,36.765972,3.05475,16
60,ALGER EST Ain Malha,Cité AADL 1516 logts bt H4 Ain Malha gue de constantine,023 53 04 03,023 53 04 03,casnos16@casnos.com.dz,36.734417,3.067722,16
61,ALGER EST Reghaia,Cité 92 logts LSP (EX DNC) Reghaia,021 85 77 99,021 85 77 99,casnos16@casnos.com.dz,36.747333,3.345583,16
62,ALGER OUEST Hydra,48 Rue 11 Décembre 1960 Chemin Makley Val Hydra El Biar Alger,021 79 72 47,021 79 72 47,casnos16@casnos.com.dz,36.7417,3.0378,16
63,ALGER OUEST Staouali,Cité Mimouza Staouali Alger,023 39 30 09,023 39 30 09,casnos16@casnos.com.dz,36.7517,2.8882,16
64,ALGER OUEST Zeralda,Centre d'affaire Zeralda,023 32 92 78,023 32 92 80,casnos16@casnos.com.dz,36.7167,2.85,16
65,ALGER OUEST Cheraga,Centre commercial El Kods Cheraga Alger,021 34 18 04,021 34 18 05,casnos16@casnos.com.dz,36.7667,2.95,16
