agence,adresse,wilaya,code,lon,lat,type
Agence Alger,5 RUE ABANE RAMDANE ALGER,Alger,"16",36.780247299999999,3.060112000000000,Agence
Antenne Dar El Beida,STADE COMMUNALE BEN RABAH AMAR DAR EL BEIDA,Alger,"16",36.720863299999998,3.210183400000000,Antenne
Antenne Zeralda,AADL SITE 212 LOGTS ZERALDA,Alger,"16",36.706632599999999,2.847619900000000,Antenne
Antenne Ouled Fayet,AADL SITE 1530 LOGTS OULED FAYET,Alger,"16",36.742436800000000,2.952250900000000,Antenne
Antenne Ain Naadja,Cité AADL Ain Naadja,Alger,"16",36.713282200000002,3.085157300000000,Antenne
Antenne Bir Mourad Rais,3 RUE DES FRÈRES BOUADOU BIR MOURAD RAIS,Alger,"16",36.739474000000001,3.059385000000000,Antenne
Antenne Ghermoul,19 RUE ABDELKADER MEBARKI GHERMOUL,Alger,"16",36.736544500000001,3.101563400000000,Antenne
Antenne Eucalyptus,AADL SITE 416 LOGTS EUCALYPTUS,Alger,"16",36.663749400000000,3.150954200000000,Antenne
Antenne Boumaati,AADL SITE 116 LOGTS BOUMATI,Alger,"16",36.716159800000000,3.138619400000000,Antenne
Agence Annaba,RESIDENCE LES PLATANES B T A B P 108 PLAINE OUEST ANNABA,Annaba,"23",36.893328699999998,7.727609300000000,Agence
Agence Adrar,BOULEVARD DE L?INDEPENDANCE N° 5 ADRAR,Adrar,"1",28.017440300000001,-0.264249700000000,Agence
Agence Ain Defla,CITE ADMINSTRATIF BP 139,Ain Defla,"44",36.250942899999998,1.939381500000000,Agence
Agence Ain Temouchent,HAI ZITOUNE,Ain Temouchent,"46",35.307250099999997,-1.142451400000000,Agence
Antenne El Amria,ANNEXE APC RUE LES FRERES MAAROUF,Ain Temouchent,"46",35.299269799999998,-1.139279200000000,Antenne
Antenne Beni Saf,NVLLE BIBLIOTHEQUE DE L'A P C,Ain Temouchent,"46",35.289312600000002,-1.140984900000000,Antenne
Antenne Hamma Bou Hadjar,ANNEXE APC RUE KEBIR AOUED,Ain Temouchent,"46",35.289312600000002,-1.140984900000000,Antenne
Antenne Ain Larbaa,SIEGE APC CITE DES MARTYRS,Ain Temouchent,"46",35.299269799999998,-1.139279200000000,Antenne
Agence Béchar,"CITE 68 LOGTS , BP 69 LA BARGA, CENTRE VILLE BECHAR",Béchar,"8",31.623809800000000,-2.216244300000000,Agence
Agence Bejaia,CITE DES 34 LOGEMENTS EPLF QUARTIER SEGHIR,Bejaia,"6",36.749364900000003,5.059218300000000,Agence
Agence Biskra,CITÉ 20 AOUT 1955 BISKRA,Biskra,"7",34.857067299999997,5.715242600000000,Agence
Agence Blida,AVENUE KRITLI MOKHTAR ? OUED BENI AZZA ? BLIDA,Blida,"9",36.484973699999998,2.838769600000000,Agence
Antenne Blida Centre,PLACE LARBI BEN M'HIDI N°1 BLIDA,Blida,"9",36.473571499999998,2.832315300000000,Antenne
Antenne Ouled Yaich - Blida,"Cité AADL Bt N° 29, Ouled Yaich",Blida,"9",36.504673799999999,2.864232100000000,Antenne
Agence Boumerdes,BLOC N° 5 SIEGE DE LA WILAYA,Boumerdes,"35",36.683955900000001,3.621780200000000,Agence
Agence Chlef,RUE ADJUDANT AZZOUN EX SAA,Chlef,"2",36.157966399999999,1.337282300000000,Agence
Agence Constantine,CENTRE COMMERCIAL DAKSI A PROXIMITE DE L'ONS,Constantine,"25",36.356068700000002,6.644045600000000,Agence
Agence El Bayadh,CITÉ CNEP  A COTÉ DE L'ECOLE MOULOUD FERRAOUN,El Bayadh,"32",33.675925700000001,1.026728200000000,Agence
Agence El Oued,"Cité 19 Mai , BP N° 143 Belle Vue",El Oued,"39",33.367811000000003,6.851651100000000,Agence
