id,code,wilaya,city,address,lat,lon,tel,fax
1,1,Adrar,Adrar,"Cité Aissat Idir, BP 108 - ADRAR",27.8787483,-0.2834016,(+213) 049.36.48.19,(+213) 049.36.48.21
2,2,Chlef,Chlef,Rue Abdelhak Ben Hamouda ( derrière Algérie Télécom)- Chlef,36.1649724,1.3365622,(+213) 027.77.43.10,(+213) 027.77.89.08
3,3,Laghouat,Laghouat,"Cite Maamourah, BP 1224 commune- Laghouat",33.7817811,2.8937381,(+213) 029.13.14.79,(+213) 029.13.14.79
4,4,Oum El Bouaghi,Oum El Bouaghi,"Cité El Amel extention Houari Boumedien, BP 33 - Oum El Bouaghi",35.8688789,7.1108266,(+213) 032.54.55.60,(+213) 032.54.59.67
5,5,Batna,Batna,"Cité l'Abattoire , 18 logts allées, Ben Boulaid,BP 58 - Batna",35.5614190227548,6.18072742224852,(+213) 033.80.21.44,(+213) 033.85.36.99
6,6,Bejaia,Bejaia,"Boulevard Krim Belkacem, SOMACOB, Ihadaden, BT D1, BP 212- Béjaia.",36.7451506,5.0489621,(+213) 034.21.90.32,(+213) 034.21.57.57
7,7,Biskra,Biskra,"Cite des 100 Villas Cadres Zahoune Ouest, BP 126 El Amel - Biskra",34.8449437,5.7248567,(+213) 033.65.63.56,(+213) 033.65.63.55
8,8,Bechar,Bechar,"Hai El Djihani 220 logts, BP 419 Elbargua - Bechar.",31.6238098,-2.2162443,(+213) 049.23.01.63,(+213) 049.23.01.63
9,9,Blida,Blida,Centre des Affaires El Wouroud 2em étage Bab Edzair -Blida,36.4734137,2.8309434,(+213) 025.21.54.37,(+213) 025.21.54.37
10,10,Bouira,Bouira,"Cité Si Lahlou, BP 45 - Bouira",36.3691846,3.9006194,(+213) 026.83.82.92,(+213) 026.83.82.89
11,11,Tamanrasset,Tamanrasset,"Cite 05 juillet Sersouf, BP 1942 -Tamanrasset",22.7966481937637,5.52785065589733,(+213) 029.30.20.84,(+213) 029.30.24.49
12,12,Tebessa,Tebessa,"Boulevard Houari Boumediene , BP 276 - Tebessa",35.3997358,8.1099531,(+213) 037.48.41.11,(+213) 037.48.37.20
13,13,Tlemcen,Tlemcen,"Fin Boulevard Principale El Kiffane, BP 389 - Tlemcen",34.8848416,-1.3270729,"(+213) 043,26,76,46","(+213) 043,26,76,46"
14,14,Tiaret,Tiaret,"Bat B6 route de Ain Guesma programme 33 log EPLF, BP79 - Tiaret",35.3449028,1.3278222,(+213) 046.21.19.28,(+213) 046.21.19.30
15,15,Tizi Ouzou,Tizi Ouzou,Cité 104 Logements EPLF Bt B5 n°17 et 18 N/Ville Tizi-Ouzou,36.713548,4.0473075,(+213) 026.18.04.02,(+213) 026.18.04.02
16,15,Tizi Ouzou,Azazga,"Cité des 60 logts proportionnels , EPLF , Fontaine Romaine Unité ""C"" Azazga - Tizi - Ouzou",36.7453947,4.3714004,(+213) 026 34 31 89,(+213) 026 34 32 64
17,16,Alger,Alger Est,Route National n° 24 Lido Mall El Mohammadia 5 ème étage - Alger,36.7295732,3.1571563,(+213) 023.80.40.17/19,(+213) 023.80.40.18
18,16,Alger,Alger Centre,40-42 Rue Larbi Ben M'hidi Alger Centre - Alger,36.7768809,3.0582454,(+213) 021.71.57.85,(+213) 021.73.80.51
19,16,Alger,Alger Ouest,Centre des affaires Zeralda 1ere étage - Alger,36.7137456,2.8449957,(+213) 021.32.95.53,(+213) 021.32.95.43
20,17,Djelfa,Djelfa,"Boulevard 08 ,cité Benjerma n° 1831 BP 3302 - Djelfa",34.6703956,3.2503761,(+213) 027.93.17.48,(+213) 027.93.17.06
21,18,Jijel,Jijel,Cité 24 logts village Moussa EPLF Bt n° 03 - Jijel,36.8210144,5.7634126,(+213) 034.47.34.66,(+213) 034.49.89.42
