num,name,address,lat,lon,code_wil
1,SAADI ABDELLAH,CITE 180 200 BAT 8 APPART 01 Bab Ezzouar,36.7220182,3.1856806,16
2,CHAMBRE NATIONALE DES NOTAIRES,2 RUE EL BAKRI Ben Aknoun Rp,36.7646339,3.0156492,16
3,BOUCHALI FOUZIA,12 RUE MOULOUD ZADI ET LE 110 ANGLE DIDOUCHE MOURAD LE SACRE COEUR Alger  Centre,36.7637381,3.048095,16
4,CHIALI HIND,157 CITE AISSAT IDIR Cheraga Rp,36.7578281,2.9572724,16
5,OUBAD NADJET,62 R.N.  Bainem,36.8127227,2.9625921,16
7,CHAMBRE REGIONALE DES NOTAIRES DE L'OUEST,05 BOULEVARD KHEDIM MUSTAPHA EL IMAM HOUARI Oran El M'naouer Ctr,35.6987388,-0.6349319,31
8,CHAMBRE REGIONALE DES NOTAIRES DE L'OUEST,ZONE DES SIEGES 16 USTO Oran,35.6989253,-0.5996961,31
9,ABDELBAKI MADANI,AVENUE DU 5 JUILLET SERSOUF Tamanrasset,22.7902972,5.5193268,11
10,BENZAOUI HAMMOU,4 ET 5 RUE CHEIKH BACHIR EL IBRAHIMI BP 303 El Harrach,36.7189505,3.1417051,16
11,DERARDJA ABDELKRIM,10 RUE ABANE RAMDANE Alger  Centre,36.778884,3.059357,16
12,SOCIETE CIVILE PROFESSIONNELLE NOTARIALE NOURI HAMMOUM & ALLAOUA SAID,70 RUE DE TRIPOLI Hussein Dey Rp,36.7445821,3.0944025,16
13,BOUTER KHELIFA,8 RUE AHMED MOKRANI El Harrach,36.7204806,3.1405843,16
14,ZEMIR MOSTEFA,12 AVENUE MOHAMED BOUKELLA Bab El Oued,36.7943835,3.0523634,16
15,MERAD KADDOUR,4 RUE EL BEKRI El Biar,36.7694847,3.0309897,16
16,BACHA SALIM,18 AVENUE BOUBELLA MOHAMED Bab El Oued,36.7943835,3.0523634,16
17,BOUDJELTIA ABDELKADER,42 RUE DES MARTYRS Chlef,36.1579664,1.3372823,2
18,BOUTEGHRAR ALLAOUA,33 RUE DES FRERES BOUAABSSA Batna,35.5634192,6.1889996,5
19,BENHOUDA BRAHIM,5 BD BENFLIS Batna,35.5321898,6.1686094,5
20,LAHDIRI AMAR,BOULEVARD DE LA REVOLUTION Bejaia,36.7493649,5.0592183,6
21,AZOUI SALAH,RUE ABDAOUI ABDERAHMANE Biskra,34.8553366,5.733139,7
22,TOUTI FERHAT,2 AVE BELLILI ABOUBAKER SEDDIK Biskra,34.8449437,5.7248567,7
23,HAMMOUDA MOHAMED,RUE SBIHI MEHDI Larbaa,36.5658397,3.1563962,9
24,KECHOUT ABDELLATIF,36 RUE MOHAMED BOUDIAF Blida,36.4707094,2.8292306,9
25,BECHE AHMED,CITE HADJ MERZOUK BT A 1 Bouira,36.3627656,3.8980721,10
26,AMROUNE MAAMAR,RUE EMIR ABDELKADER Sour El Ghozlane,36.1508804,3.7074189,10
27,AZZOUNI ABDELLATIF,13 RUE COMMANDANT MOKHTAR BOUZIDI Tlemcen,34.8831751,-1.31197,13
28,MEZIANI YOUCEF,CITE DES 32 LOGTS BT B 1 Azazga,36.7453947,4.3714004,15
29,BELOUNIS NASREDDINE,12 RTE DE BOGHNI Draa El Mizan,36.5329303,3.9611136,15
30,RABAHI AMAR,CITE 44 LOGTS BT A/2 Zeralda,36.711348,2.8380608,16
31,BOUHANGUEL ACHOUAK,RUE 20 AOUT 1955 Jijel,36.8195869,5.7688871,18
32,BOUROUIS ZIDANE,36 AVENUE BACHIR BOUKADOUM Skikda,36.8733403,6.9096742,21
34,ARABA ABDELGHANI,CITE DES CHAMPS MANOEUVRES Guelma,36.4587605,7.4301211,24
35,HECINI FATMA ZOHRA,CITE DU 20 AOUT Sidi Aissa,35.885157,3.774373,28
36,MAALOUFI ABDELHAMID,19 RUE BOUDJELLAL AHMED Oran El M'naouer Ctr,35.7058968,-0.6336155,31
37,BEKHTAOUI SAID,BOULEVARD TRIPOLIE ANGLE DIF ALLAH DJILALI Oran,35.7051525,-0.6365844,31
38,MEROUANE ABDELLAH,3 AVENUE DES JARDIN BT HBM BEAU MARCHE Arzew,35.8577443,-0.3096606,31
39,AYADHAT BOUDAOUD,45 RUE DU 24 AVRIL Bordj Bou Arreridj,36.0739925,4.7630271,34
40,BELGHERBI FARIDA,CITE 300 LOGTS VILLA 8 Boumerdes,36.7551365,3.4562362,35
41,ZAHRI ABDERREZAK,16 AVENUE ABBES LAGHROUR Khenchela,35.4269404,7.1460155,40
42,ALLALI AHMED,2 AVENUE DE LA PALESTINE Khenchela,35.4269404,7.1460155,40
43,RAHALI BAROUDI,12 RUE EMIR ABDELKADER El Malah,35.3870327,-1.0976722,46
44,SIROUKANE OMAR,RUE LARBI BEN M'HIDI Bounoura,32.4889043,3.6705385,47
45,ROGUI SLIMANE,BOULEVARD EMIR ABDELKADER Relizane,35.7450263,0.5578837,48
46,BAHRI MOHAMED,9 AVENUE DOCTEUR BOUKHALOUA Relizane,35.745465,0.5588659,48
47,KLOUCHE AMINA,CITE RABIA TAHAR BATIMENT 9 C 263 Bab Ezzouar,36.7227952,3.1798486,16
48,BOUKHELKHAL ALI,95 RTE DE CHERAGA Dely Ibrahim,36.7543235,2.9730065,16
49,SADIKI MOKHTAR,RUE CHOUAKI TAYEB 8 LOGTS Mecheria,33.5428376,-0.2751123,45
50,DJEBAR KOTBI,RUE SALAA EL HBIB El Bayadh,33.6854149,1.0303543,32
51,IMANDASSEN MOHAMED AMEZIANE,28 BOULEVARD ZIROUD YOUCEF  Khelifa Boukhalfa,36.7667039,3.0539096,16
52,ABED EL HAMID,RUE NAFAA KOUIFDER CITE RASS EL AIN El Bayadh,33.6854149,1.0303543,32
53,ZITOUNI MERIEM,31 AVENUE COLONEL AMIROUCHE Alger  Centre,36.7704344,3.0578615,16
54,MIROUH RABAH,CITE DAUPHIN VILLA DAR ESSALAM 11 Draria,36.720057,2.9951112,16
55,BENHADJ AHMED,CITE DES 40 LOGTS LOCAL 25 Adrar,28.0174403,-0.2642497,1
56,BARIK BOUDJEMAA,CITE 103 LOGTS BP 575 Adrar,28.0174403,-0.2642497,1
57,MIMOUNI NOUREDDINE,2 RUE MOHAMED IDRIS BEY Alger  Centre,36.7610218,3.0564266,16
58,AROUCHE HOCINE,CITE BEN HAMMADI ALLAL Timimoun,29.2616911,0.2415964,1
59,ALI NEMRI,37 RUE LARBI BEN MHIDI Alger  Centre,36.7793569,3.0580611,16
60,HAMMADI OUADHOUR,40 BD MOHAMED 5 Alger  Centre,36.76787,3.0523284,16
61,HENTABLI AHMED,7 RUE ABDELKEDER SELLAL El Mouradia,36.7409527,3.0543286,16
62,EL HADJ MESSAOUD MOHAMED,7 RUE DES FRERES ZEGHNOUNE BELLE VUE El Harrach,36.7279477,3.1388886,16
63,BENAMIROUCHE ABDELKADER,CITE 632 LOGTS BT 55 6 Mohammadia,36.7303904,3.1472242,16
64,BEDJAOUI KHENFER AZZEDINE,1 CITE 300 LOGTS BT 20 EX 15 Bab Ezzouar,36.7514093,3.0585793,16
65,BOUSRI MOKHTAR,CITE DES 310 LOGTS BT D 39 1 LES BANANIERS Mohammadia,36.730841,3.1659437,16
66,BENAGGOUN CHERIF,AVENUE 11 DECEMBRE 1960 24 Bordj El Kiffan,36.7740428,3.2625559,16
67,ZAANANI NADIA,CITE DES 618 LOGTS BT 9 El Harrach,36.7209669,3.1376625,16
68,MANSOURI RABAH,CITE 1ER NOVEMBRE 32 LOGTS BT A/1 Dar El Beida,36.7139279,3.21325,16
69,ARICHI BACHIR,CITE 5 JUILLET BT D 01 Bab Ezzouar,36.7215061,3.1828809,16
