num,address,lat,lon,tel,name,wilaya,code
"0","ADRAR,Boulevard Mohamed El Atchane,Adrar",28.0174403,-0.2642497,049 36 41 18  - 049 36 41 23  - 049 36 41 24  - 049 36 41 25  - 049 36 42 16  - 049 36 42 20  - 049 36 42 21  - 049 36 42 22  - 049 36 42 23  - 049 36 42 36  - 049 36 44 34  - 049 36 49 06  - 049 36 61 37  - 049 36 61 38,. IMPOTS Direction,Adrar,"1"
"1","ADRAR,Rue Taleb Mohamed,Adrar",27.8766599,-0.2707998,"49361062",. IMPOTS Direction,Adrar,"1"
"4","3,REGGANE,Cité El Kaous Labyad,Adrar",26.7242654,0.1657289,"49320202",. IMPOTS Direction,Adrar,"1"
"5","2,REGGANE,Cité El Kaous Labyad,Adrar",26.7242654,0.1657289,"49320320",. IMPOTS Direction,Adrar,"1"
"6","4,REGGANE,Cité El Kaous Labyad,Adrar",26.7242654,0.1657289,"49320207",. IMPOTS Direction,Adrar,"1"
"7","AOULEF,Cité Centre Ville,Adrar",26.9678212,1.0880079,049 32 71 96  - 049 32 78 27  - 049 32 78 53  - 049 32 78 58,. IMPOTS Direction,Adrar,"1"
"8","REGGANE,Brigade Darak El Watani,Adrar",26.7242654,0.1657289,"49970319",. IMPOTS Direction,Adrar,"1"
"9","TIMIMOUN,Cité Hassi Ghambou,Adrar",29.2616911,0.2415964,049 90 45 51  - 049 90 45 59,. IMPOTS Direction,Adrar,"1"
"11","ADRAR,Cité Aissat Idir,Adrar",27.8725274,-0.2673055,049 36 10 26  - 049 36 10 27  - 049 36 41 30,. IMPOTS Direction,Adrar,"1"
"12","REGGANE,Rue Amir Abdelkader,Adrar",26.7242654,0.1657289,049 36 42 27  - 049 36 44 52,. IMPOTS Direction,Adrar,"1"
"13","CHLEF,Boulevard Emir AEK,Chlef",36.1664031,1.3361486,027 79 85 43  - 027 79 85 45,Direction IMPOTS,Chlef,"2"
"14","EL KARIMIA,El Karimia,Chlef",36.111108,1.5535633,027 70 91 47  - 027 70 91 53,Direction IMPOTS,Chlef,"2"
"15","CHLEF,Cité 57 Logements OPGI,Chlef",36.1656697,1.334188,"27798801",Direction IMPOTS,Chlef,"2"
"16","TENES,Tenes,Chlef",36.5081163,1.3078225,027 76 61 72  - 027 76 71 66  - 027 76 71 94,Direction IMPOTS,Chlef,"2"
