num,Name,localite,code_agence,succursale,address,phone,fax,code_wil,lat,lon
0,01-Adrar,Adrar,408,Oran (400),"N° 03, Centre Commercial ""AMRAD"" - Adrar",049 36 78 83 / 049 36 78 85,049 36 78 85,1,27.8705130980418,-0.287824176225546
1,02-Chlef,Chlef,607,Bouzaréah (600),"Rue Ibn Rochd, BP. 137 - Chlef",027 77 15 73,027 77 81 58,2,36.170123,1.334741
2,02-Chlef,Chlef,732,Bouzaréah (600),"Cite des fonctionnaires, Bt. 1 N°06 - Chlef",027 79 04 20,027 79 04 20,2,36.169331,1.341806
3,03-Laghouat,Laghouat,621,Bouzaréah (600),"Bloc H, cité des 600 Logements Makam - Laghouat",029 11 73 79,029 11 73 84,3,33.7954963197057,2.85692932626698
4,04-Oum El Bouaghi,Meskiana,306,Annaba (300),"Route Radai Amar, Code 04250, Meskiana - Oum El Bouaghi",032 47 18 96,032 66 22 58,4,35.6334765,7.6674872
5,04-Oum El Bouaghi,Oum El Bouaghi,514,Constantine (500),"Cité Hihi El Mekki, BP 344 - Oum El Bouaghi  ",032 56 00 31,032 56 00 31,4,35.8705589,7.1146963
6,04-Oum El Bouaghi,Aïn Beïda,717,Annaba (300),"Résidence FLN BP. 369, code 04200, Aïn Beïda - Oum El Bouaghi",032 68 56 98,032 68 56 98,4,35.793667,7.377667
7,04-Oum El Bouaghi,Aïn M'lila,798,Constantine (500),"01, Cité des 100 Logements, Aïn M'lila - Oum El Bouaghi",032 50 43 31,032 50 43 31,4,36.0430239,6.5726147
8,05-Batna,Batna,307,Annaba (300),"02, Rue Hamid Benchaabane, la Verdure - Batna",033 80 76 14 / 033 80 76 09,033 80 76 29 / 033 36 18 78,5,35.551601,6.172301
9,05-Batna,Aïn Touta,308,Annaba (300),"BP. 142, Route Maaoufa, Code 05500, Aïn Touta - Batna",033 35 87 92 / 033 35 83 26,033 35 83 26,5,36.3710676,5.8920139
10,05-Batna,Barika,309,Annaba (300),"06, Avenue Emir Abdelkader, Barika - Batna",033 39 18 82,033 39 18 83,5,35.383917,5.369711
11,05-Batna,Arris,759,Constantine (500),"01, Rue Ahmed Ben Abderezak, Arris - Batna",033 34 30 83,033 34 30 83,5,35.2607,6.34787
12,05-Batna,Barika,773,Annaba (300),"06, Rue Bouradi Ismail, Barika - Batna",033 38 98 01,033 38 98 02,5,35.3878253,5.3672937
13,06-Béjaïa,Béjaïa,206,Chéraga (200),"Bt. N° D11 ET D12, Boulevard de la Révolution, Quartier Séghir - Béjaïa",034 12 56 84 / 034 12 56 87                                              ,034 12 56 83,6,36.749219,5.060497
