num,id,title,street,city,phone,lat,lon,code_wil
0,1616, 05-01.10 - Agence BOUABSA,08 avenue les frères BOUABSA-BATNA,Batna,07 82 29 14 75 / 05 54 80 21 39,35.554867,6.176896,5
1,1591, 21.2.Y.BOULECHFAR,Route National El Hrouche SKIKDA,Sidi Mezghiche,07 70 99 41 07,36.655703,6.84046,25
2,1534, 44-04.10 - Agence KHEMIS MELIANA,Cité 56 logts LSP khmis miliana,Khemis Miliana, 07 82 29 14 37 / 05 54 80 30 71,36.256575,2.220505,44
3,1506, DZ001 - Agence CHERAGA,Chéraga Ouled Fayet N° 57 Alger,Chéraga, 07 82 29 15 86,36.755765,2.951391,16
4,1525,02-01.50, RDC Batiment 4 N°1 commune et daira de Chlef,Chlef,0782 16 44 39 / 0554 84 86 74,36.1645864,1.3318918,2
5,1528,02.1.S.BENZERGA,"N°12 Hay Bensouna, Route d’oran chlef ",Chlef,05 51 12 35 50,36.160921,1.315595,2
6,1530,02.1.S.TAHAR-DJEBBAR,Rue de la gare - Bâtiment OPGI - Oued Sly - W.Chlef,Oued Sly,06 65 63 44 48,36.104424,1.19619,2
7,1527,02.B.MESSABIH,"31, Rue Aspirant Dahmane - Chlef - W.Chlef",chlef,07 80 58 43 04,36.154817,1.325696,2
8,1529,02.S.TAHAR-DJEBBAR,Rue Ghoulami - Boukadir - W.Chlef,Boukadir,06 65 63 44 48,36.05694,1.120912,2
9,1533,03-01.20 - Agence LAGHOUAT,Cité El maamoura Lghouat,Laghouat,07 82 29 15 94 / 05 54 84 41 58,33.798062,2.866655,3
10,1607,05.1.Y.DEKHINET,Boulevard Ariouat Boubaker Barika W-BATNA,Barika,07 82 29 14 76,35.384593,5.289343,5
11,1604,05.L.BOUDARN,Rue Ahmed Ben Abderrezak Arris,Arris,07 82 29 14 77,35.300537,6.354517,5
12,1606,05.Y.DEKHINET,06 Rue Gaouda Moustapha Cité EL NASR Batna,Batna,07 82 29 14 76,35.561022,6.173912,5
13,1639,06.1.M.ABDELKADER,cité des 68 logements Bt5 N°522 LES Hamadite,Bejaia,07 82 29 16 14,36.673332,5.147442,6
14,1643,06.2.I.CHERIFI,"04, Chemins Ouzelaguen - Bejaia",Bejaia,07 78 72 51 49,36.554343,4.57276,6
15,1644,06.3.I.CHERIFI,"Cité ihaddaden, prommotion immobiliére SOMACOB BEDJAIA ",Bejaia,07 78 72 51 49,36.743873,5.050526,6
16,1641,06.A.IKHLEF,Rue Boutekrabt Ahmed Souk Eltenine Bejaia.,Souk Eltenine,06 67 86 82 83,36.625652,5.336022,6
17,1645,06.H.KHELIFATI,Route Nationale N°26 Hotel Syfax -Tazamalt,Tazmalt,07 82 29 15 08,36.379845,4.396449,6
18,1646,06.h.rabhi,Cité98 logts Bloc 14 AMIZOUR,Amizour,07 82 29 15 53,36.642116,4.903334,6
19,1642,06.I.CHERIFI,cté 130 / 200 logt RHP BT E N°15 et 16 Akbou Bejaia,Akbou,07 78 72 51 49,36.459016,4.533478,6
20,1647,06.L.OUHENDI,56 logts la grande baie local N°23 RD CITE TOBALE,Bedjaia,07 82 29 15 06,36.750008,5.071744,6
21,1638,06.M.ABDELKADER," RC Tichy centre,route nationale N°05 commune et daira de Tichy wilaya de BEJAIA",Tychy,07 82 29 16 14,36.668272,5.155088,6
22,1640,06.R.BENZAID,Agmoune commune Barbacha W BEJAIA,Berbacha,0560 77 47 59,36.484172,4.747158,6
23,1648,06.W.HAMMAOUI,Centre Commercial Lot 130-131 El Kseur Bejaia,El Kseur,07 82 29 15 07,36.677564,4.849324,6
24,1617,07-01.10 - Agence BISKRA,Rue AISSA OUAER N°01 Biskra,Biskra,07 82 29 14 78 / 05 54 80 30 67,34.8551757,5.724128,7
25,1538,09-01.20 - Agence LES PALMIERS,Avenue Kritli Mokhtar N°17 B Blida,Blida,07 82 29 14 70 / 05 54 80 38 23,36.475039,2.832578,9
26,1540,09-04.20 - Agence OUED EL ALLEUG,"Boulevard principal, Royal Groupe N°175. Section 10 commune Oued El Alleug BLIDA",Oued El Alleug,07 82 29 13 43 / 05 54 80 21 19,36.566583,2.768025,9
27,1531,09-07.10 - Agence OULED YAICH,Cité 1652 LGTS AADL BT 10 local N°03 OULED YAICH,Ouled Yaich,07 82 29 14 57,36.475793,2.829758,9
28,1536,09-14.10 - Agence SOUMAA,Route Nationale n°29 local 1 lot soumaa-BLIDA,Soumaa,07 82 29 14 56 / 05 54 84 87 18,36.498475,2.907609,9
29,1535,09-20.10 - Agence BOUFARIK,03 Rue des frères Bouza Boufarik W. Blida,Boufarik,07 82 29 14 58,36.584859,2.907609,9
30,1588,10-01.10 - Agence BOUIRA,Cité l'indepenance BT A N°06 BOUIRA,Bouira,07 82 29 14 43 / 05 54 80 28 38,36.374022,3.898986,10
31,1671,11-01.10 - Agence TAMENGHASSET,Hai el Kaser el Fougani Tamanrast,Tamanrast,07 82 29 15 15 / 05 54 84 18 07,22.799724,5.524223,11
32,1635,12-01.10 - Agence TEBESSA CENTRE,Rue El Amir Abdelkader Route de Constantine Tebessa,Tebessa,07 82 29 14 79 / 05 54 80 31 82,35.4078,8.112599,12
33,1634,12-02.10 - Agence BIR EL ATER,"Cité 150 logts, Centre Bir el Ater Tebessa",Bir El Ater,07 82 29 14 80 / 05 54 84 87 27,34.761089,8.05743,12
34,1631,12.A.CHAIB,"Cité nouvelle el Biadha,rue 1er novembre -el ouenza-tebessa",Ouenza,07 82 29 16 21,35.948996,8.139318,12
