num, id, type_agence, nom_agence, code_agence,  wilaya_agence, commune_agence, latitude, longitude, adresse, tel, email, horaires 
1, 3027, "1", "El khatabi", "1101", "16", "16001", "36.771871", "3.057629", "04, rue emir el khettabi  alger", "021 63.53.56 - 63.53.56", "", ""
2, 3028, "1", "Ben mhidi", "1105", "16", "16001", "36.775983", "3.058535", "40, rue larbi ben m'hidi  alger", "021 73.98.17 - 73.68.49", "", ""
3, 3029, "1", "Hassiba b.b", "1106", "16", "16001", "36.765409", "3.055964", "41, rue hassiba ben bouali  alger", "021 23.52.42 - 23.52.42", "", ""
4, 3030, "2", "Morsli karim", "1163", "16", "16017", "36.734571", "3.106566", "102. rue bodjemaa moghni commune de hussein dey alger", "021 23-23-21 - 23-23-21", "", ""
5, 3031, "2", "Ouaguenouni nadera", "1164", "16", "16017", "36.731244", "3.100430", "Cit", "021 23 12 48 - 23 12 48", "", ""
6, 3032, "2", "Slama", "1165", "16", "16009", "36.68879541862891", "3.0606398636635603", "Cit", "", "", ""
7, 3033, "2", "Ait belkacem", "1154", "16", "0", "36.760804", "3.050710", "01 rue ibn el khatib alger", "021 66.60.08 - 66.60.06", "", ""
8, 3034, "2", "Kechida", "1156", "16", "16009", "36.727017", "3.051793", "Rue n 01, lot les vergers, bmr alger", "021 66 16 25 - 44 07 10 - 021 44 50 27", "", ""
9, 3035, "2", "Kechida annex", "11561", "16", "16022", "36.753622", "3.021003", "Cite malki", "", "", ""
10, 3036, "1", "Belouazdad", "1302", "16", "0", "36.754801", "3.066469", "Rue hassiba ben bouali  belouizdad alger", "021 67.89.27 - 67.89.27", "", ""
11, 3037, "1", "Garidi", "1303", "16", "16018", "36.7279258", "3.066830", "Cite garidi 1 bt 18  kouba  alger", "021 28.48.06 - 28.48.06", "", ""
12, 3038, "1", "Hussein dey", "1304", "16", "16017", "36.743582", "3.095962", "2 rue ibn el abbas el genfoud  hussein dey alger", "021 77.39.76 - 77.08.05", "", ""
13, 3039, "1", "El makaria", "1306", "16", "16017", "36.732834", "3.111610", "Cite cila maquaria    hussein dey  alger", "021 77.60.45 - 77.60.47", "", ""
14, 3040, "1", "Parnet", "1307", "16", "16017", "36.742877", "3.091421", "8 rue idris arkoub  hussein dey alger", "021 49.60.57 - 49.60.57", "", ""
15, 3041, "1", "Riadh el feth", "1308", "16", "16003", "36.743276", "3.070470", "Office riadh el feth  alger", "021 67-43-64 - 67-43-64", "", ""
16, 3042, "1", "1 mai", "1309", "16", "0", "36.762762", "3.057530", "Rue des lib", "021 23-56-99 - 23-56-99", "", ""
17, 3043, "1", "Rahmouni", "1311", "16", "16012", "36.712301", "3.062350", "14 lot mont froid birkhadem alger", "021 55.56.77 - 55.56.77", "", ""
18, 3044, "1", "Sehar", "1317", "16", "16017", "36.729209", "3.102562", "N", "021 77-82-32 - 77-82-32", "", ""
19, 3045, "1", "Kaci abdellah", "1327", "16", "16027", "36.748096", "3.053152", "El mouradia alger", "021 69 87 98 - 69 87 98", "", ""
20, 3046, "2", "Benadrouche", "1370", "16", "0", "36.743754", "3.079347", "193 rue mohamed  belouizdad alger", "021 67 30 71 - 67 30 71", "", ""
21, 3047, "2", "Belhanache mohamed", "1378", "16", "16009", "36.736876", "3.051005", "03  lotissement   beau sejour bir mourad rais  alger", "021 56.19.03 - 56 19 03", "", ""
22, 3048, "2", "Alliouane mohamed said", "1384", "16", "0", "36.759354", "3.055865", "17 rue med belouizdad alger", "021 65.08.46 - 65 08 46", "", ""
23, 3049, "2", "Mechrara lamine", "1396", "16", "16017", "36.738838", "3.100721", "35 rue said hamlat h.dey, alger", "021.77.69.53 - 77.69.53", "", ""
24, 3050, "1", "Bir khadem", "1406", "16", "16012", "36.719543", "3.051969", "3 rue des freres djilali birkhadem alger", "021 56 17 42 - 56 17 42", "", ""
25, 3051, "1", "Port said", "1501", "16", "0", "36.780139", "3.060985", "04, rue bachir ben azzouz   alger", "021 73.58.96 - 73.65.36", "", ""
26, 3052, "1", "Allouche", "1504", "16", "16005", "36.789963", "3.060602", "05, rue mustapha allouche  bab el oued   alger", "021 96 89 55 - 96-83-31", "", ""
27, 3053, "1", "Bir moras rais", "1507", "16", "16009", "36.739346", "3.061329", "Rue des fr", "023 56-92-21 - 09 - 56-92-21", "", ""
28, 3054, "1", "El harrach", "1201", "16", "16013", "36.72428", "3.14553", "34, rue bouamama, el harrach -alger", "021 52.57.64 - 52.57.64", "", ""
29, 3055, "1", "Oued smar", "1202", "16", "16015", "36.69882", "3.16998", "Bp 13, zone industrielle, oued smar - alger", "021.51.37.52 - 51.37.52", "", ""
30, 3056, "1", "B.e.k", "1203", "16", "0", "36.75336", "3.19446", "12, rue douzi mohamed, b,e,k - alger", "021.21.27.45 - 21.27.45", "", ""
31, 3057, "1", "Boudouaou", "1205", "35", "35002", "36.724129", "3.412178", "11, rue des freres mahfouf, boudouaou -boumerd", "024 84.30.40 - 84.30.40", "", ""
32, 3058, "1", "Rouiba", "1207", "16", "16042", "36.72612", "3.28850", "Cit", "021 85.45.93 - 85.45.93", "", ""
33, 3059, "1", "Baraki", "1208", "16", "16014", "36.66249", "3.10266", "Cit", "017.02.99.78 - 02.99.78", "", ""
34, 3060, "1", "Bab ezzouar", "1210", "16", "0", "36.72478", "3.17822", "Cit", "021 24.34.78 - 24.34.78", "", ""
35, 3061, "1", "Boumerd", "1211", "16", "35001", "36.756690", "3.456398", "Cit", "024 91-34-01 - 91 34 01", "", ""
36, 3062, "1", "Dar el beaida", "1212", "16", "16020", "36.72124", "3.21098", "Stad omar ben rabah, dar el beida -alger", "021 75-45-14 - 75-45-14", "", ""
37, 3063, "1", "Khemis el khechna", "1216", "16", "0", "36.65164", "3.33138", "48, rue djebbar brahim, khemis el khechna- alger", "024 87.03.25 - 87.03.25", "", ""
38, 3064, "1", "Zemmouri", "1217", "16", "35011", "36.78533", "3.60568", "01 rue bellal omar, zemmouri - boumerd", "024 86 44 70 -  - ", "", ""
39, 3065, "1", "Cenntre d'affaire b.e.z", "1219", "16", "0", "36.714496", "3.199599", "Centre d'affaire bab ezzouar -alger", "021 22 50 80", "", ""
40, 3066, "2", "Baba mohamed", "1252", "16", "16013", "36.71293", "3.15343", "41, rue mettah, beaulieu- alger", "026.87.49.03", "", ""
41, 3067, "2", "Cheraitia omar", "1253", "16", "16042", "36.73452", "3.28282", "Cit", "021 76 91 86", "", ""
42, 3068, "2", "Lazreg said", "1255", "16", "16014", "36.7312717", "3.0876783", "Lot n", "023.90.89.41", "", ""
